candidate,moment,target,model,gap,weight,loss_contribution,standardized_gap
task_001,tfr,1.918,1.898716173746703,-0.019283826253296832,1425.7389910084596,0.5301837914255328,-0.7281372064559899
task_001,childless_rate,0.188,0.21641791836733035,0.028417918367330347,17180.743822072007,13.874792183232076,3.7248882108369474
task_001,mean_age_first_birth,26.0446272574833,25.587996991450872,-0.45663026603242685,44.44444444444444,9.267164438081995,-3.044201773549512
task_001,share_first_births_age30plus,0.260327401666964,0.1922125148343572,-0.0681148868326068,10000.0,46.39637808218831,-6.81148868326068
task_001,housing_increment_0to1,0.7202462623815278,0.33171071763537796,-0.3885355447461498,137.5652749002964,20.766835950970673,-4.5570644005731005
task_001,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.3257404851826786,-0.041959073627321375,2958.514988007638,5.208654566157491,-2.2822477004386466
task_001,own_family_gap,0.16766167,0.004906726812914819,-0.1627549431870852,14229.590955975675,376.9300756606354,-19.41468711209726
task_001,own_rate,0.575472,0.4983827026265251,-0.07708929737347486,1207.8460856134493,7.177939125375189,-2.6791676180066055
task_001,aggregate_mean_occupied_rooms_18_85,5.779970481941968,5.609243376393941,-0.17072710554802661,11.973159013172177,0.34899058059765214,-0.590754247210845
task_001,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,6.962403264478459,0.08930326447845882,6.287669427540395,0.050144622976939626,0.22392995104929495
task_001,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008027547756095224,-0.0007724522439047764,5165289.256198346,3.0820375470739876,-1.7555732816017644
task_001,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.14101839739914,-0.30709235704637994,56.95977216091135,5.3716320829505895,-2.317678166387773
