label,reference_target,replay_target,abs_diff_target,reference_model,replay_model,abs_diff_model,reference_gap,replay_gap,abs_diff_gap,reference_actual_weight,replay_actual_weight,abs_diff_actual_weight,reference_working_scale,replay_working_scale,abs_diff_working_scale,reference_loss_contribution,replay_loss_contribution,abs_diff_loss_contribution
Initial model completed fertility,2.1,2.1,0.0,2.10000082254872,2.10000082254872,0E-14,8.225487198032511e-07,8.225487198032511e-07,0E-22,,,,,,,,,
"Childless women, ages 40–44",0.19827875100684264,0.19827875100684264,0E-17,0.19625838181248936,0.19625838181248936,0E-17,-0.0020203691943532776,-0.0020203691943532776,0E-19,35532.3042455214,35532.3042455214,0E-10,0.005305035738317728,0.005305035738317728,0E-18,0.14503901712402645,0.14503901712402645,0E-17
"Exactly one child among mothers, ages 40–44",0.21365532522014702,0.21365532522014702,0E-17,0.2164389663540484,0.2164389663540484,0E-16,0.0027836411339013933,0.0027836411339013933,0E-19,26952.820824310795,26952.820824310795,0E-12,0.0060911302714076404,0.0060911302714076404,0E-19,0.20884818968803037,0.20884818968803037,0E-17
Period mean first-birth age,25.976263860992496,25.976263860992496,0E-15,26.095245727446994,26.095245727446994,0E-15,0.11898186645449726,0.11898186645449726,0E-17,139.82806784479274,139.82806784479274,0E-14,0.0845673694617251,0.0845673694617251,0E-16,1.9795018470150048,1.9795018470150048,0E-16
First births at age 30+,0.2492780130410667,0.2492780130410667,0E-16,0.23215522441951517,0.23215522441951517,0E-17,-0.017122788621551532,-0.017122788621551532,0E-18,13866.065434728798,13866.065434728798,0E-12,0.00849226186213262,0.00849226186213262,0E-17,4.065390202013739,4.065390202013739,0E-15
Wealth / annual gross labor earnings,6.14586139445743,6.14586139445743,0E-14,4.893427023357046,4.893427023357046,0E-15,-1.2524343711003842,-1.2524343711003842,0E-16,7.595098472533724,7.595098472533724,0E-15,0.36285515343369,0.36285515343369,0E-14,11.91360959368814,11.91360959368814,0E-14
Annual bequests / aggregate wealth,0.0088,0.0088,0.0000,0.008582409472574054,0.008582409472574054,0E-18,-0.0002175905274259468,-0.0002175905274259468,0E-19,5165289.256198346,5165289.256198346,0E-9,0.00044000000000000007,0.00044000000000000007,0E-20,0.24455391335486415,0.24455391335486415,0E-17
"Old wealth/income p90 / median, ages 76–84",3.51593508651872,3.51593508651872,0E-14,4.4998003491158975,4.4998003491158975,0E-16,0.9838652625971775,0.9838652625971775,0E-16,10.616361531535473,10.616361531535473,0E-15,0.306910785103348,0.306910785103348,0E-15,10.276540875320618,10.276540875320618,0E-15
"Mean occupied rooms, capped at 9",5.561097376118652,5.561097376118652,0E-15,6.4246524480267615,6.4246524480267615,0E-16,0.8635550719081095,0.8635550719081095,0E-16,128.02070205233477,128.02070205233477,0E-14,0.08838120078007809,0.08838120078007809,0E-17,95.4685404508123,95.4685404508123,0E-13
"Ownership, heads 30–55",0.6483340343191493,0.6483340343191493,0E-16,0.539896172524596,0.539896172524596,0E-15,-0.10843786179455328,-0.10843786179455328,0E-17,2339.3623724673616,2339.3623724673616,0E-13,0.020675272863460718,0.020675272863460718,0E-18,27.508023781725218,27.508023781725218,0E-15
"First-birth room response, −1 to +3",0.7202462623815278,0.7202462623815278,0E-16,0.9808060155467686,0.9808060155467686,0E-16,0.2605597531652408,0.2605597531652408,0E-16,137.5652749002964,137.5652749002964,0E-13,0.0852600513385958,0.0852600513385958,0E-16,9.339497036695414,9.339497036695414,0E-15
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.3470669317962507,0.3470669317962507,0E-16,0.17204277687323977,0.17204277687323977,0E-17,-0.17502415492301093,-0.17502415492301093,0E-17,280.52808370152104,280.52808370152104,0E-14,0.059705154633000496,0.059705154633000496,0E-18,8.593544374028559,8.593544374028559,0E-15
Recent-parent ownership gap,0.16289550916123285,0.16289550916123285,0E-17,0.14410266191000554,0.14410266191000554,0E-17,-0.018792847251227318,-0.018792847251227318,0E-18,27055.822957508266,27055.822957508266,0E-12,0.006079524679464666,0.006079524679464666,0E-18,9.55533496655929,9.55533496655929,0E-14
