parameter,reference_estimate,replay_estimate,abs_diff_estimate,reference_lower,replay_lower,abs_diff_lower,reference_upper,replay_upper,abs_diff_upper,reference_near_bound,replay_near_bound,abs_diff_near_bound,reference_transform,replay_transform,abs_diff_transform,reference_status,replay_status,abs_diff_status,reference_structural_coordinate,replay_structural_coordinate,abs_diff_structural_coordinate
beta_annual,0.99,0.99,0.00,0.94,0.94,0.00,0.99,0.9995,0.0095,True,False,,discount,discount,,diagnostic candidate; not a certified estimate,diagnostic candidate; not a certified estimate,,True,True,
kappa_fert,0.33773423411167025,0.33773423411167025,0E-17,0.02,0.02,0.00,50.0,50.0,0.0,True,True,,log,log,,diagnostic candidate; not a certified estimate,diagnostic candidate; not a certified estimate,,True,True,
kappa_fert_continuation,0.39785645171756406,0.39785645171756406,0E-17,0.02,0.02,0.00,50.0,50.0,0.0,True,True,,log,log,,diagnostic candidate; not a certified estimate,diagnostic candidate; not a certified estimate,,True,True,
chi,1.0496534423047694,1.0496534423047694,0E-16,0.1,0.1,0.0,5.0,5.0,0.0,False,False,,log,log,,diagnostic candidate; not a certified estimate,diagnostic candidate; not a certified estimate,,True,True,
H0,8.11210048056786,8.11210048056786,0E-14,0.2,0.2,0.0,80.0,80.0,0.0,False,False,,log,log,,diagnostic candidate; not a certified estimate,diagnostic candidate; not a certified estimate,,True,True,
theta0,0.08105103333987912,0.08105103333987912,0E-17,0.0,0.0,0.0,8.0,8.0,0.0,False,False,,softzero,softzero,,diagnostic candidate; not a certified estimate,diagnostic candidate; not a certified estimate,,True,True,
theta1,0.08520356663830632,0.08520356663830632,0E-17,0.02,0.02,0.00,16.0,16.0,0.0,True,True,,log,log,,diagnostic candidate; not a certified estimate,diagnostic candidate; not a certified estimate,,True,True,
first_birth_fixed_cost,0.26576477618628114,0.26576477618628114,0E-17,0.0,0.0,0.0,8.0,8.0,0.0,False,False,,softzero,softzero,,diagnostic candidate; not a certified estimate,diagnostic candidate; not a certified estimate,,True,True,
h_P,2.3,2.3,0.0,0.1,0.1,0.0,2.3,2.3,0.0,True,True,,log,log,,diagnostic candidate; not a certified estimate,diagnostic candidate; not a certified estimate,,True,True,
hbar_child_rooms,0.0,0.0,0.0,,,,,,,False,False,,,,,zero restriction,zero restriction,,False,False,
psi_child,0.1489153145785918,0.1489153145785918,0E-16,,,,,,,False,False,,,,,normalized to 2.1,normalized to 2.1,,False,False,
payroll_tax,0.179,0.179,0.000,,,,,,,False,False,,,,,externally fixed,externally fixed,,False,False,
pension_period,2.0463613896121218,2.0463613896121218,0E-16,,,,,,,False,False,,,,,budget derived,budget derived,,False,False,
housing_supply_elasticity,0.63,0.63,0.00,,,,,,,False,False,,,,,externally fixed,externally fixed,,False,False,
tenure_choice_kappa,0.005,0.005,0.000,,,,,,,False,False,,,,,externally fixed,externally fixed,,False,False,
alpha_cons,0.733,0.733,0.000,,,,,,,False,False,,,,,externally fixed,externally fixed,,False,False,
sigma,2.0,2.0,0.0,,,,,,,False,False,,,,,externally fixed,externally fixed,,False,False,
