case_id,label,parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
1,anchor_1,beta_annual,0.995116569194981,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
1,anchor_1,tenure_choice_kappa,2.0,0.005,10.0,log,True,estimated_free_transition_parameter,False
1,anchor_1,joint_nest_lambda,0.8,0.02,1.0,log,True,estimated_free_transition_parameter,False
1,anchor_1,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
1,anchor_1,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
1,anchor_1,theta0,0.5284284711333161,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
1,anchor_1,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
1,anchor_1,hbar_child_rooms,0.2822101230841891,0.1,1.8,log,True,estimated_free_transition_parameter,False
1,anchor_1,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
1,anchor_1,hbar_first_child_jump,0.3649311350610432,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
1,anchor_1,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
1,anchor_1,psi_child_2007,0.281183695312112,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
1,anchor_1,psi_child_2023,-0.047530211583451554,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
1,anchor_1,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
2,anchor_2,beta_annual,0.995116569194981,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
2,anchor_2,tenure_choice_kappa,2.0,0.005,10.0,log,True,estimated_free_transition_parameter,False
2,anchor_2,joint_nest_lambda,0.8,0.02,1.0,log,True,estimated_free_transition_parameter,False
2,anchor_2,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
2,anchor_2,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
2,anchor_2,theta0,0.5284284711333161,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
2,anchor_2,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
2,anchor_2,hbar_child_rooms,0.2822101230841891,0.1,1.8,log,True,estimated_free_transition_parameter,False
2,anchor_2,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
2,anchor_2,hbar_first_child_jump,0.3649311350610432,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
2,anchor_2,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
2,anchor_2,psi_child_2007,0.281183695312112,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
2,anchor_2,psi_child_2023,-0.047530211583451554,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
2,anchor_2,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
3,all_minus,beta_annual,0.9950761018738447,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
3,all_minus,tenure_choice_kappa,1.981087730070134,0.005,10.0,log,True,estimated_free_transition_parameter,False
3,all_minus,joint_nest_lambda,0.7960975263751461,0.02,1.0,log,True,estimated_free_transition_parameter,False
3,all_minus,chi,1.0383815861947248,0.1,5.0,log,True,estimated_free_transition_parameter,False
