period,calendar_year,psi_child,asset_price,renter_price,housing_demand,housing_supply,relative_market_residual,adult_population,property_tax_revenue,equal_transfer_period_units,equal_transfer_outlays,government_budget_residual,scaled_government_budget_residual,implied_equal_transfer,entry_flow_E,birth_children,birth_children_topcode_adjusted,effective_mature_entrant_flow_B,raw_state_scheduled_mature_entrant_flow_B,entrant_flow_next,queue_B_over_current_E,owner_rate,adult_deaths,model_state_same_period_mature_flow_B,mass_accounting_residual,policy_reproduction_max_abs,feasibility_frontier_projection_mass,minimum_distribution_mass,nonfinite_distribution_count,historical_conditioning_scope,historical_outside_flow,historical_retained_due_entry,historical_next_bridge_year,historical_bridge_audit,historical_bridge_net_residual,resident_persons,household_heads,persons_per_household_head,births_per_household_head,next_resident_persons,next_household_heads,annual_net_migration_over_period,new_heads_from_nonheads_over_period,head_dissolutions_over_period,net_migrant_heads_over_period,household_bridge_added_mass,household_bridge_removed_mass,household_person_head_gap,person_identity_max_abs,head_identity_max_abs,raw_household_exit_mass,raw_household_mass_residual
47,2195,-0.03133626685497737,0.5860427793915504,0.09973479323788899,5.1213334510143795,6.223483589597858,0.17709537154169572,,0.12005281959293553,0.0,0.0,0.12005281959293553,,,,0.04417236790377396,0.04925180246545868,,,,,0.7432334633120438,,0.02713694489106324,,0.0,0.0,0.0,0,,,,,,,1.8199623151027313,0.7526170676868411,2.4181783715008778,0.06544071956384602,1.8071694403943117,0.7475810864163211,0.03132376282761394,0.047643238287081044,0.03971731810627624,0.008846644991789079,0.06161571956774227,0.0017237547584802657,3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0649279460800313,-3.3306690738754696e-16
48,2199,-0.03133626685497737,0.5834219962338675,0.09928877926835548,5.100077079885443,6.205935261127423,0.17819363797892415,,0.11901988603573432,0.0,0.0,0.11901988603573432,,,,0.04397292386293705,0.049032815360778734,,,,,0.7435435359818987,,0.026984561776075184,,0.0,0.0,0.0,0,,,,,,,1.8071694403943117,0.7475810864160749,2.4173557534179118,0.06558862476824213,1.7952915266654528,0.7426656658694579,0.03132376282761394,0.04733967704153246,0.039433457714888404,0.008846644991789079,0.0612844178380496,0.0017087775184099346,-6.661338147750939e-16,2.220446049250313e-16,2.220446049250313e-16,0.06449106086650194,-3.3306690738754696e-16
49,2203,-0.03133626685497737,0.5808129332177872,0.0988447598731784,5.079538054126591,6.1884364135992405,0.1791887781275119,,0.11801045586434544,0.0,0.0,0.11801045586434544,,,,0.0437718697167378,0.04881269244483931,,,,,0.7439029257097131,,0.026840931170072576,,0.0,0.0,0.0,0,,,,,,,1.7952915266654528,0.7426656658692089,2.4173616866537926,0.06572633513050505,1.7841368521916134,0.7378128965240351,0.03132376282761394,0.04705265704091317,0.03922826902547089,0.008846644991789079,0.060959615568349806,0.001694730062694598,3.3306690738754696e-16,6.661338147750939e-16,1.1102230246251565e-16,0.06411765485107924,1.9984014443252818e-15
50,2207,-0.03133626685497737,0.578215537930839,0.0984027261326213,5.059199086024481,6.1709869074921215,0.180163697984488,,0.11701230084099418,0.0,0.0,0.11701230084099418,,,,0.04356709260622806,0.04858776134037148,,,,,0.7440616899436988,,0.026704104500577218,,0.0,0.0,0.0,0,,,,,,,1.7841368521916134,0.737812896523787,2.4181426762768616,0.06585377074498591,1.7735543684182007,0.7330809018702537,0.03132376282761394,0.04679095233791711,0.03901086981895698,0.008846644991789079,0.060651119980289846,0.0016824062305549753,2.220446049250313e-16,4.440892098500626e-16,0.0,0.06370070840351619,-4.440892098500626e-16
51,2211,-0.03133626685497737,0.5756297581949417,0.09796266916683775,5.039554215877348,6.153586603678286,0.18103789863541186,,0.11603669498783108,0.0,0.0,0.11603669498783108,,,,0.04336331583017643,0.04836247789051105,,,,,0.7441364357746727,,0.026573532964978278,,0.0,0.0,0.0,0,,,,,,,1.7735543684182007,0.7330809018700037,2.419316018046672,0.06597154252299305,1.763464910910104,0.7285852186410395,0.03132376282761394,0.04655832115257192,0.038725159331536294,0.008846644991789079,0.060367975846235766,0.0016720818692601974,-1.1102230246251565e-16,4.440892098500626e-16,2.220446049250313e-16,0.06319157720618931,-6.661338147750939e-16
52,2215,-0.03133626685497737,0.5730555420653536,0.09752458013569124,5.021394428653257,6.136235363422249,0.1816815797866059,,0.11510151624943354,0.0,0.0,0.11510151624943354,,,,0.043168853973820955,0.04814605820423043,,,,,0.7441286353696338,,0.026449688439450978,,0.0,0.0,0.0,0,,,,,,,1.763464910910104,0.7285852186407862,2.4203962224212288,0.06608157422415105,1.7538631832514129,0.72442006299645,0.03132376282761394,0.04635266123201729,0.03837686305276804,0.008846644991789079,0.060113925528613686,0.0016634930607357795,-3.3306690738754696e-16,4.440892098500626e-16,1.1102230246251565e-16,0.06261558811246726,-5.551115123125783e-16
53,2219,-0.03133626685497737,0.5704928378296303,0.09708845023857837,5.00532202287607,6.11893304837972,0.18199431448241313,,0.11422001460326864,0.0,0.0,0.11422001460326864,,,,0.042991440183559076,0.04794764834726387,,,,,0.7440468665010188,,0.026333530066259433,,0.0,0.0,0.0,0,,,,,,,1.7538631832514129,0.7244200629961947,2.42105826831666,0.06618763172979064,1.7447926806039966,0.7206252350455017,0.03132376282761394,0.0461676055718134,0.03799999788929642,0.008846644991789079,0.05988697406537368,0.0016560361264633255,7.771561172376096e-16,2.220446049250313e-16,1.1102230246251565e-16,0.062025765889859655,4.440892098500626e-16
54,2223,-0.03133626685497737,0.5679415940065857,0.09665427071425253,4.992786368180639,6.101679520596495,0.18173572516759315,,0.11342444193915455,0.0,0.0,0.11342444193915455,,,,0.04283517641171787,0.04777262695782449,,,,,0.7443323214238484,,0.026225924103660068,,0.0,0.0,0.0,0,,,,,,,1.7447926806039966,0.7206252350452497,2.421220623080785,0.0662933028633458,1.7363054216592366,0.7171858733000053,0.03132376282761394,0.045995431384495314,0.03763124229500164,0.008846644991789079,0.059681354163912355,0.001649054386875834,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,0.061471661522532584,-7.771561172376096e-16
55,2227,-0.03133626685497737,0.5654017593452572,0.09622203284064718,4.982280098340878,6.084474642507361,0.1811486790439278,,0.11267959732611173,0.0,0.0,0.11267959732611173,,,,0.042699352270596964,0.04762085108078244,,,,,0.7445142099516485,,0.02612715940797409,,0.0,0.0,0.0,0,,,,,,,1.7363054216592366,0.7171858732997535,2.4209978002920507,0.06639959437806568,1.728426241382666,0.7140452783058088,0.03132376282761394,0.04582987610936977,0.03730184434847892,0.008846644991789079,0.05949015922151931,0.0016420414874672301,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.06098871272824834,-2.220446049250313e-16
56,2231,-0.03133626685497737,0.5628732828238763,0.0957917279347005,4.973669441212783,6.067318276934997,0.1802524255039886,,0.11198182584224935,0.0,0.0,0.11198182584224935,,,,0.042579664996705714,0.047487883175559756,,,,,0.7447072867543643,,0.026036790383964267,,0.0,0.0,0.0,0,,,,,,,1.728426241382666,0.714045278305553,2.4206115408875246,0.0665054228609279,1.721138210551042,0.7111286651938495,0.03132376282761394,0.04566791217027484,0.03702884572428503,0.008846644991789079,0.05930774762120771,0.0016347530586392559,7.771561172376096e-16,2.220446049250313e-16,2.220446049250313e-16,0.06058960767452838,1.1102230246251565e-16
57,2235,-0.03133626685497737,0.5603561136488443,0.0953633473521819,4.966668713743541,6.050210287088878,0.1790915558187473,,0.11132412712858537,0.0,0.0,0.11132412712858537,,,,0.04247062685240466,0.047367603986492375,,,,,0.7450891995903022,,0.025953838238254694,,0.0,0.0,0.0,0,,,,,,,1.721138210551042,0.7111286651935864,2.4202908626704094,0.06660904883309375,1.7143888963665967,0.7083686773044717,0.03132376282761394,0.04550995597610388,0.036811712360506954,0.008846644991789079,0.05913116628792033,0.0016272681924138915,-1.1102230246251565e-16,4.440892098500626e-16,1.1102230246251565e-16,0.06026388598488333,-1.1102230246251565e-15
58,2239,-0.03133626685497737,0.5578502012537112,0.09493688248751726,4.960739942969349,6.033150536564188,0.17775299772406553,,0.11069399102211101,0.0,0.0,0.11069399102211101,,,,0.04236730397409137,0.04725422637836061,,,,,0.7457454361929303,,0.02587709992623237,,0.0,0.0,0.0,0,,,,,,,1.7143888963665967,0.7083686773042099,2.4201929747810547,0.06670852042497528,1.7081073259403206,0.7057229257752116,0.03132376282761394,0.04535872971309804,0.03663618907457979,0.008846644991789079,0.05896034239177998,0.0016199211680206493,-5.551115123125783e-16,4.440892098500626e-16,2.220446049250313e-16,0.05998617275301897,-1.1102230246251565e-16
59,2243,-0.03133626685497737,0.5553554952981603,0.09451232477361708,4.955391953140531,6.0161388893407315,0.17631689622053273,,0.11008016610131512,0.0,0.0,0.11008016610131512,,,,0.04226684804941915,0.047144154281710586,,,,,0.7459563163159023,,0.02580550586757333,,0.0,0.0,0.0,0,,,,,,,1.7081073259403206,0.7057229257749413,2.4203653637363125,0.06680263961942637,1.7022237851927997,0.7031798470464358,0.03132376282761394,0.045217529724562694,0.036481474897367104,0.008846644991789079,0.05879726211581839,0.0016130862148643413,1.1102230246251565e-15,2.220446049250313e-16,1.1102230246251565e-16,0.05972725462973145,4.440892098500626e-16
60,2247,-0.03133626685497737,0.5528719456669966,0.09408966568170357,4.950745499591443,5.999175209781848,0.17476230873885903,,0.10948513187444994,0.0,0.0,0.10948513187444994,,,,0.04216900352802359,0.04703671627690082,,,,,0.7459179748585202,,0.02573837118400627,,0.0,0.0,0.0,0,,,,,,,1.7022237851927997,0.7031798470461678,2.4207516645183933,0.06689144530305714,1.6966855493010902,0.7007539511840026,0.03132376282761394,0.04508867240661551,0.03632732591871381,0.008846644991789079,0.05864459968760372,0.0016069964692019614,-3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.05946349908083361,-1.5543122344752192e-15
61,2251,-0.03133626685497737,0.5503995024691403,0.0936688967211395,4.946178301796021,5.98225936263333,0.17319226700683144,,0.10889496305728748,0.0,0.0,0.10889496305728748,,,,0.042075344590020526,0.046933492750387815,,,,,0.7509198490056234,,0.025675448062633804,,0.0,0.0,0.0,0,,,,,,,1.6966855493010902,0.7007539511837317,2.4212286586968292,0.06697570905038286,1.691463827716059,0.6984727885363703,0.03132376282761394,0.044972682896144645,0.03616076137984063,0.008846644991789079,0.05850441700697129,0.001601694711515396,-3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,0.059183884943088086,6.661338147750939e-16
62,2255,-0.03133626685497737,0.5479381160366246,0.09325000943925812,4.942533888475403,5.9653912130223485,0.17146525483761493,,0.10832810829193537,0.0,0.0,0.10832810829193537,,,,0.041988221703910984,0.046837112055446564,,,,,0.7521351196177841,,0.0256168070717668,,0.0,0.0,0.0,0,,,,,,,1.691463827716059,0.6984727885361046,2.4216603072842915,0.06705645921240569,1.6865513518079291,0.6963602212143767,0.03132376282761394,0.04486834075100882,0.035980685012269406,0.008846644991789079,0.058377326719983934,0.0015970618199774647,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,0.05889283222200109,3.3306690738754696e-16
63,2259,-0.03133626685497737,0.5454877369235978,0.09283299542119303,4.93996122527272,5.948570626456372,0.16955491739441478,,0.10778753077057357,0.0,0.0,0.10778753077057357,,,,0.04190968397432699,0.046750030586963684,,,,,0.7524039477863756,,0.02556264490756915,,0.0,0.0,0.0,0,,,,,,,1.6865513518079291,0.6963602212141061,2.421952461424953,0.06713483792261261,1.6819533369847868,0.6944240803618065,0.03132376282761394,0.044773312644535004,0.03579639754555851,0.008846644991789079,0.05826231293397896,0.001592886205707647,-1.1102230246251565e-16,2.220446049250313e-16,0.0,0.05860556758084082,-8.881784197001252e-16
