year,quantity,A0,Aplus,difference_Aplus_minus_A0,percent_relative_to_A0
2007,asset_price,0.7559106684272089,0.7579476479669243,0.002036979539715378,0.26947357998712285
2007,renter_price,0.09865775372123217,0.09791941705996815,-0.0007383366612640219,-0.7483817879639476
2007,housing_demand,6.95290412246621,6.964714336809607,0.011810214343396908,0.16986016397428916
2007,owner_rate,0.5559093033191206,0.5559996854137226,9.038209460199287e-05,0.016258424541981675
2007,births,0.12484425318737905,0.12518257959598633,0.0003383264086072868,0.27099878446106285
2007,period_tfr,1.973112232918695,1.9788233789749767,0.005711146056281757,0.2894486163026677
2007,household_heads,0.9999999999997049,0.9999999999997039,-9.992007221626409e-16,-9.992007221626409e-14
2007,pension,3.5126005257644226,3.5126005257643795,-4.3076653355456074e-14,-1.2212453270876722e-12
2007,rebate,0.21023098031639864,0.21115554455380064,0.0009245642374020036,0.4397849622403527
2011,asset_price,0.7825159822751934,0.7856288493487532,0.003112867073559844,0.3978023636666217
2011,renter_price,0.10903038810888721,0.1081603969566346,-0.0008699911522526138,-0.7979345642462166
2011,housing_demand,7.106090911467602,7.123910868481015,0.01781995701341277,0.25077018061583356
2011,owner_rate,0.5791821032117841,0.578970401071767,-0.0002117021400170893,-0.036551913265814306
2011,births,0.11832385209842249,0.11863008860883516,0.00030623651041267186,0.25881215408534164
2011,period_tfr,1.9505452109693535,1.9562434388981083,0.00569822792875474,0.29213513722774476
2011,household_heads,1.0296091729798649,1.029609172979872,7.105427357601002e-15,6.883382752675971e-13
2011,pension,3.250229554964813,3.2502295551101374,1.453246412097542e-10,4.471201187072893e-09
2011,rebate,0.21602866473581103,0.21743200068734572,0.00140333595153469,0.6496063627717596
2015,asset_price,0.8031574673860297,0.807656163388521,0.004498696002491309,0.5601262747556568
2015,renter_price,0.12104272581237915,0.1200381705796586,-0.0010045552327205554,-0.8299178872406165
2015,housing_demand,7.22361105937823,7.249097562089622,0.025486502711391523,0.3528221896485384
2015,owner_rate,0.5793814686533418,0.578064233974385,-0.0013172346789568357,-0.22735188303804055
2015,births,0.1172948285634279,0.11757455038709647,0.0002797218236685606,0.2384775416738094
2015,period_tfr,1.9256911390339841,1.9312098823220554,0.005518743288071226,0.2865850694436789
2015,household_heads,1.0678559129607321,1.0678559129607244,-7.771561172376096e-15,-7.327471962526033e-13
2015,pension,2.8466920953947135,2.8466920950780077,-3.1670577271825096e-10,-1.1125400600775492e-08
2015,rebate,0.21732131707802005,0.2193096604862485,0.0019883434082284546,0.9149325224798943
2019,asset_price,0.8152071456208426,0.8214558823808268,0.006248736759984164,0.7665213428944107
2019,renter_price,0.12872635919829306,0.12725160980976594,-0.0014747493885271246,-1.1456467795033287
2019,housing_demand,7.291702092920177,7.326876341433903,0.03517424851372564,0.4823873502440179
2019,owner_rate,0.576239482822299,0.572519771678446,-0.003719711143852944,-0.645514799790281
2019,births,0.11857193828278939,0.11881303890286816,0.00024110062007877409,0.2033369982564981
2019,period_tfr,1.9089286012814444,1.9139944637288027,0.005065862447358294,0.26537726156743435
2019,household_heads,1.1013831580146733,1.1013831580146765,3.1086244689504383e-15,2.886579864025407e-13
2019,pension,2.495646481179791,2.4956464805099836,-6.698073207189736e-10,-2.6839030997649616e-08
2019,rebate,0.21588288554374707,0.2185871550991615,0.002704269555414418,1.2526558317039083
2023,asset_price,0.8215699603553357,0.8303289338539815,0.00875897349864585,1.066126309542459
2023,renter_price,0.13013363518658466,0.127287220176678,-0.00284641500990665,-2.187301542622311
2023,housing_demand,7.32750380697872,7.37662415540615,0.049120348427429406,0.6703558226833994
2023,owner_rate,0.5683274804611055,0.5632131295708486,-0.0051143508902569135,-0.8998950545392348
2023,births,0.1241969707287124,0.12434836342029656,0.00015139269158416513,0.12189724974440708
2023,period_tfr,1.899611477413134,1.9029617470452398,0.003350269632105718,0.1763660449487281
2023,household_heads,1.1292476712475508,1.1292476712475552,4.440892098500626e-15,3.9968028886505635e-13
2023,pension,2.3299951318841163,2.3299951314483938,-4.3572256913648744e-10,-1.8700574422325644e-08
2023,rebate,0.2132412682837037,0.21695946053762746,0.003718192253923752,1.743655101965036
2023,resident_persons,2.9659779384078715,2.9659779384078715,0.0,0.0
2027,asset_price,0.8275798904804491,0.8406367413575387,0.013056850877089632,1.5777148559650955
2027,renter_price,0.1349304097027101,0.1339574429607042,-0.0009729667420059207,-0.7210878141922561
2027,housing_demand,7.361226601190797,7.43417800310031,0.07295140190951344,0.9910223643667226
2027,owner_rate,0.574777287712744,0.5665220048564853,-0.00825528285625865,-1.436257665836016
2027,births,0.12457276224557598,0.1267700905808499,0.002197328335273918,1.763891476486834
2027,period_tfr,1.8893009596159736,1.8866918276457354,-0.0026091319702381544,-0.13810038876858055
2027,household_heads,1.1584039347988924,1.167589457399444,0.009185522600551721,0.792946426079455
2027,pension,2.0662559646642085,2.086074695844125,0.019818731179916504,0.9591614746112587
2027,rebate,0.21035846932456656,0.21409726988084427,0.003738800556277705,1.777347291165654
2027,resident_persons,2.9847590577894434,3.015345635457341,0.03058657766789752,1.0247586848953327
