window_start_year,prior_sequence_or_continuation,permanent_shock_iteration3,data
2007,1.9748555482499361,1.6818645215857357,1.974875
2011,1.8610692789655279,1.692659126356324,1.861
2015,1.7555364577860617,1.6982787209304293,1.755375
2019,1.6333131251180577,1.6999154015214035,1.64575
2023,1.6261574997795576,1.7023443399127078,
2027,1.6106278429458196,1.7085944067392875,
2031,1.5997120405669407,1.7145024116315124,
2035,1.599295867857813,1.719455841587052,
2039,1.6286972643518003,1.7247612113247897,
