window_start_year,period_fertility,completed_fertility_reconstructed,housing_index,supply_index,households_index,housing_per_household_index,relative_market_residual
2007,1.6818645215857357,2.071182985397819,99.18794365555786,99.08747969530766,100.00000000000048,99.18794365555738,0.001013891568935866
2011,1.692659126356324,2.020828471477994,99.16949372440753,98.73936403913414,100.00000000002738,99.16949372438037,0.004356212838305416
2015,1.6982787209304293,1.9588419117933507,99.10846753165376,98.50740491726464,100.00000000005133,99.10846753160288,0.0061016998152976015
2019,1.6999154015214035,1.8910580908912307,98.6584600258355,98.32385584382008,100.00000000007303,98.65846002576345,0.003403082386708865
2023,1.7023443399127078,1.8230999869371063,98.1210076359976,97.96341740141348,100.00000000009233,98.121007635907,0.001608664119365914
2027,1.7085944067392875,1.7629776728397866,97.33095371941948,97.32593743560291,98.77081198894678,98.54222290924527,5.15410788608007e-05
2031,1.7145024116315124,1.711112150759154,96.53212207282523,96.66902972400084,97.57335675211311,98.93286987970174,0.0014162514257823433
2035,1.719455841587052,1.7107486678198052,95.72958864100126,95.99605948084348,96.39242137220076,99.31236011943294,0.002775851855621297
2039,1.7247612113247897,1.7107176869416159,94.84430201332117,95.31730851750966,95.216297323219,99.60931550548005,0.004962440836247462
2043,1.7305534061388324,1.712224315312159,93.95258583999765,94.59876374494318,94.04731359622222,99.89927648903267,0.006830722510156035
2047,1.7363556234833442,1.7165850176464368,92.93154858054223,93.85413654538172,92.77741890666871,100.16612843479571,0.009830019206381893
2051,1.7428516317713125,1.723913132078192,91.90522557211447,93.01722260290155,91.39116599713391,100.56248278416393,0.011954743429980411
2055,1.7494590100698824,1.7307599978750035,90.85868228183797,92.14087458726439,89.87210976550286,101.09775159269023,0.01391556473899207
2059,1.7560755437608633,1.7369274019396521,89.6595271909931,91.20403205154514,88.21323330463399,101.63954299392304,0.01693461161540693
2063,1.763609597994745,1.7426745733483988,88.38969357441984,90.18764753153609,86.41254235120887,102.28803732584927,0.019935700800794827
2067,1.7725311036690705,1.74854641605833,87.0841576216149,89.09276506616176,84.46751458116469,103.0978099135803,0.022545124096835914
2071,1.7829857150939217,1.754740203744181,85.78393650231872,87.93704089924917,82.40231403112092,104.10379551952953,0.024484612796981376
2075,1.7943235067343368,1.7620871563230351,84.62856402024237,86.771454805672,80.32040401975249,105.36371804035049,0.02469580336331474
2079,1.8050426554314385,1.7703260280140396,83.38602490618837,85.66013103348597,78.2747599715815,106.52990176713742,0.026548011307718094
2083,1.8163174411574792,1.7796216011327572,82.13369486288322,84.5635276356687,76.26355144362579,107.69718077395945,0.028733815165021603
2087,1.8292215679436548,1.7898025407761788,81.2731778875335,83.44299679639354,74.29594686783433,109.3911327788998,0.026003607158963164
2091,1.8388867204913681,1.8004968004924322,80.36025103509476,82.52681327001909,72.39629284614215,111.0005055174272,0.026252828009189672
2095,1.8441264518164355,1.811057663897655,79.62485873765198,81.86854420722334,71.1909534456166,111.8468778459023,0.027405952937091516
2099,1.8498683818146024,1.821278720974264,78.69890538731053,81.09670922656362,69.89797511323799,112.59110905546923,0.029567215021687566
2103,1.8572033842807665,1.8308512716496532,77.85281635533315,80.24989524591284,68.54839223783237,113.57351181223707,0.029870180929635372
2107,1.8650447987004584,1.8400805290965982,77.01150814605552,79.35283200819994,67.17451043442827,114.64394403176117,0.029505233813236408
2111,1.872710828482963,1.848842493334374,76.23772879014219,78.49505364142998,65.79368101545974,115.87393745643806,0.028757542629365883
2115,1.880470984009727,1.8560445184747731,75.43324831970422,77.65854444933704,64.47765272349176,116.9913064968336,0.028654878164560048
2119,1.887456701531578,1.862303300843226,74.59154512515988,76.89056673852953,63.242741801267975,117.94483129709023,0.029899917647734236
2123,1.8943310077011757,1.8694589473847858,73.80638504121777,76.13889846222305,62.096033005112176,118.85845434786715,0.030634977233911256
2127,1.900682189582977,1.8767034962010705,73.09152305705791,75.42779864533354,61.033660164878015,119.75608682095495,0.0309736679345629
2131,1.9062334493578077,1.8839415300919793,72.32706301435314,74.73840370676122,60.0495172507104,120.44570268963734,0.032263743575110894
2135,1.911879996004901,1.8907779210676712,71.6104701340436,74.06659508473118,59.138675951352724,121.08906562762773,0.03316103498315008
2139,1.9172491953196231,1.8974950184726196,71.05751870994081,73.41690895008617,58.28106698333535,121.92213078435697,0.032136877919355405
2143,1.9224674921238725,1.9035801768702456,70.41012844140117,72.72150830438659,57.42156316868204,122.61966508045734,0.03178399234117624
2147,1.9279323562782484,1.9092244030219685,69.79767310497785,72.01990559876059,56.58031233481032,123.3603531418396,0.030855809589133573
2151,1.9324521647411323,1.9149943134003167,69.11768850765453,71.39958187946267,55.77159908800059,123.92990274242538,0.03195947807734278
2155,1.9374173319110295,1.9201664208803646,68.50008816264346,70.76660071480983,55.006255209932306,124.53145174346393,0.03202799808486532
2159,1.9419079524766818,1.9252632692562524,67.90726222948152,70.16080036879141,54.288632453132436,125.0856010935735,0.0321196184687811
2163,1.9460844480067672,1.9300305337937316,67.32312215179076,69.5760525869494,53.61104810412832,125.5769557443264,0.03238083149864185
2167,1.9502891264937805,1.9352804744894716,66.77104393155619,68.99157579218955,52.96781899430283,126.05964375980447,0.03218555070146311
2171,1.9544603996130796,1.9399607609063148,66.23212353943865,68.41798372568205,52.350515208004765,126.51666039250611,0.031948620336540126
2175,1.9583609330959244,1.9443661094933535,65.67337849344516,67.86554914918186,51.753789991351695,126.89578580509658,0.03230167121933814
2179,1.9625568379296257,1.9486843011308415,65.11575328950005,67.30582117578876,51.17769792301116,127.23462744935598,0.0325390560285819
2183,1.9664765716893418,1.9527835872507329,64.56432152370665,66.7526403143135,50.623517296939646,127.53819760289507,0.03278250538559761
2187,1.9708572125302732,1.95699998935028,63.982876636279464,66.20411330576307,50.090197415887125,127.7353253472824,0.03355133931368948
2191,1.9766326870103277,1.9611228937110579,63.80573676901826,65.66325050204685,49.5796642013234,128.6933620807281,0.02828848280927994
2195,1.9804502197964433,1.965187453918259,63.36539365927787,65.13265925886293,49.09158808455971,129.07586845659117,0.027133324812691203
2199,1.9842403440093335,1.9692037845239492,62.96246432482731,64.60317487298906,48.62515622821489,129.48537178846772,0.025396747936729476
2203,1.988038749230276,1.973457755330716,62.52748564191734,64.15139115033939,48.17739179524268,129.7859500316322,0.025313644479141844
2207,1.991447176273335,1.9779583799287987,62.08683008701593,63.70740962777074,47.74678678289603,130.03352533296928,0.025437850168819047
2211,1.9948754694038509,1.982424270538349,61.67509425627179,63.23125666741431,47.33365427237058,130.29861143062547,0.02461065133226221
2215,1.9981000293702222,1.9860645881729726,61.27612129451443,62.75358745375242,46.93488080945323,130.55561287837062,0.023543931417894366
2219,2.0011949081823386,1.9895140082198495,60.8932122307827,62.289951315534694,46.55110547412375,130.80937952081774,0.022423184723274387
2223,2.0043277311251804,1.9938865558977676,60.52104684399981,61.832709412911754,46.18237914017387,131.047919078194,0.021213085782038236
2227,2.00760013018898,1.9971087452135334,60.167030532087175,61.3806902781309,45.82824468899656,131.2880974176464,0.019772663691860367
2231,2.01072992407539,2.000118533244357,59.842201723728316,60.93978333334168,45.4885795271395,131.55434253123934,0.01801092077419399
2235,2.0133933072608055,2.00327517112803,59.52352812323567,60.53168843486032,45.162316025086014,131.79910456800428,0.01665508327443319
2239,2.01596486624183,2.006363896638813,59.22041082513855,60.136307961333,44.84927082167658,132.0431965563108,0.015230351966126156
2243,2.0187449824760093,2.0095251457144654,58.93826954515925,59.734160707438974,44.5483039027933,132.30193830446518,0.013323886246226525
2247,2.0215911192603064,2.01252593492895,58.67692508264778,59.335216949832315,44.25935746234939,132.57518510647864,0.011094454541914312
2251,2.024201212939928,2.0152567232259937,58.41686566862737,58.95088390303881,43.98209831740773,132.81964231685254,0.00905869766583609
2255,2.026548576470163,2.0179216818666,58.155287713374506,58.58761214049143,43.71552583868324,133.03119795007413,0.007379109871899569
2259,2.028813788582086,2.0204595606084697,57.874975772994375,58.236886973887046,43.459170794470175,133.1709158619255,0.006214466804431843
2263,2.0311352639479336,2.023060167946079,57.59954153244233,57.887399892773395,43.21313124096655,133.2917561822905,0.004972729140784989
2267,2.0344602664249596,2.0256607835630738,57.30244143041347,57.53836759245856,42.97690324888542,133.3331094112733,0.004100327692925625
2271,2.0399585063413537,2.028033967226071,57.36318003031673,57.19050794742775,42.74999615394079,134.18288933583648,0.003019243736175773
2275,2.042505710433003,2.030660384938253,57.169939757853626,56.849881863926896,42.531252899544384,134.41865889275522,0.005629877907095654
2279,2.044854872821935,2.0330852070510694,57.144845074144946,56.50193632278595,42.31926123449369,135.0327094735935,0.011378525997519309
2283,2.0459123264599066,2.0359033553553165,56.89246851477356,56.28626235756683,42.11549820329339,135.0867755146836,0.010770055281974833
2287,2.047338588480108,2.038505142316182,56.67428306508475,55.98239977365609,41.92090272636747,135.19337461556543,0.012358943064713754
2291,2.049054842665413,2.043024437499362,56.467908751069714,55.67366821320354,41.73788705497412,135.29172829639,0.014265999768950322
2295,2.051515895147744,2.04519826694721,56.28285297335942,55.366530525239824,41.562737305254146,135.41661743786167,0.016550115014013277
2299,2.05340911305174,2.0471852877981163,56.0815173197982,55.10202224936064,41.394651181644406,135.48010604970716,0.017776027638421708
