window_start_year,model,data
2007,1.6818645215857357,1.974875
2011,1.692659126356324,1.861
2015,1.6982787209304293,1.755375
2019,1.6999154015214035,1.64575
2023,1.7023443399127078,
2027,1.7085944067392875,
2031,1.7145024116315124,
2035,1.719455841587052,
2039,1.7247612113247897,
