block,moment,value,status,source_output
acs_housing,prime30_55_childless_owner_mean_rooms,6.224049830345576,candidate_reaudit_required,code/data/mms_center_periphery/output_intergen_one_market_targets/intergen_one_market_acs_housing_targets.csv
acs_housing,prime30_55_childless_renter_mean_rooms,3.805288099342435,candidate_reaudit_required,code/data/mms_center_periphery/output_intergen_one_market_targets/intergen_one_market_acs_housing_targets.csv
acs_housing,prime30_55_childless_owner_minus_renter_mean_rooms,2.418761731003141,candidate_reaudit_required,code/data/mms_center_periphery/output_intergen_one_market_targets/intergen_one_market_acs_housing_targets.csv
acs_housing,prime30_55_childless_owner_share_rooms_ge_6,0.5961311181352554,candidate_reaudit_required,code/data/mms_center_periphery/output_intergen_one_market_targets/intergen_one_market_acs_housing_targets.csv
acs_housing,prime30_55_childless_renter_share_rooms_ge_6,0.13765221247274265,candidate_reaudit_required,code/data/mms_center_periphery/output_intergen_one_market_targets/intergen_one_market_acs_housing_targets.csv
acs_housing,prime30_55_childless_renter_rent_to_income_mean,0.4119691264005243,candidate_reaudit_required,code/data/mms_center_periphery/output_intergen_one_market_targets/intergen_one_market_acs_housing_targets.csv
acs_housing,prime30_55_childless_renter_rent_to_income_median,0.24,candidate_reaudit_required,code/data/mms_center_periphery/output_intergen_one_market_targets/intergen_one_market_acs_housing_targets.csv
acs_housing,prime30_55_parent_owner_minus_renter_mean_rooms,2.399913109881739,candidate_reaudit_required,code/data/mms_center_periphery/output_intergen_one_market_targets/intergen_one_market_acs_housing_targets.csv
psid_oldage,all_old_65_75_own_rate,0.8637304541441245,candidate_reaudit_required,code/data/psid_followup_mar2026/output/intergen_oldage_wealth_targets/intergen_oldage_wealth_targets.csv
psid_oldage,old_parent_minus_childless_own_mean_gap,0.08254405731744785,candidate_reaudit_required,code/data/psid_followup_mar2026/output/intergen_oldage_wealth_targets/intergen_oldage_wealth_targets.csv
psid_oldage,all_old_65_75_nonhousing_nw_to_income_mean,6.418542892631066,candidate_reaudit_required,code/data/psid_followup_mar2026/output/intergen_oldage_wealth_targets/intergen_oldage_wealth_targets.csv
psid_oldage,all_old_65_75_nonhousing_nw_to_income_median,2.23046078407069,candidate_reaudit_required,code/data/psid_followup_mar2026/output/intergen_oldage_wealth_targets/intergen_oldage_wealth_targets.csv
psid_oldage,old_parent_minus_childless_nonhousing_nw_to_income_mean_gap,1.0074495242682238,candidate_reaudit_required,code/data/psid_followup_mar2026/output/intergen_oldage_wealth_targets/intergen_oldage_wealth_targets.csv
psid_oldage,all_old_65_75_total_nw_to_income_mean,9.67184123967198,candidate_reaudit_required,code/data/psid_followup_mar2026/output/intergen_oldage_wealth_targets/intergen_oldage_wealth_targets.csv
psid_oldage,old_parent_minus_childless_total_nw_to_income_mean_gap,1.2841346682944366,candidate_reaudit_required,code/data/psid_followup_mar2026/output/intergen_oldage_wealth_targets/intergen_oldage_wealth_targets.csv
psid_birth_rooms,first_birth_rooms_post3,0.66443467,candidate_reaudit_required,code/data/psid_followup_mar2026/output/no_location_family_space_packet_20260523/psid_birth_rooms_event_summary.csv
psid_birth_rooms,first_birth_rooms_post5,0.84313726,candidate_reaudit_required,code/data/psid_followup_mar2026/output/no_location_family_space_packet_20260523/psid_birth_rooms_event_summary.csv
psid_birth_rooms,second_birth_eventstudy_rooms_post3,0.70381975,candidate_reaudit_required,code/data/psid_followup_mar2026/output/no_location_family_space_packet_20260523/psid_birth_rooms_event_summary.csv
psid_birth_rooms,second_birth_quick_rooms_post3,0.4880314286336553,candidate_reaudit_required,code/data/psid_followup_mar2026/output/rooms_second_birth_quick_v1/rooms_second_birth_quick_moment_v1.csv
psid_young_wealth,young_childless_liq_nw_to_inc_mean,0.8700761817243783,candidate_reaudit_required,code/data/psid_followup_mar2026/output/entry_wealth_v1/entry_wealth_candidate_targets_focus_v1.csv
psid_young_wealth,young_childless_renter_liq_nw_to_inc_mean,0.1792255598714484,candidate_reaudit_required,code/data/psid_followup_mar2026/output/entry_wealth_v1/entry_wealth_candidate_targets_focus_v1.csv
psid_young_wealth,young_prebirth_liq_nw_to_inc_mean,0.8239971574854421,candidate_reaudit_required,code/data/psid_followup_mar2026/output/entry_wealth_v1/entry_wealth_candidate_targets_focus_v1.csv
psid_young_wealth,young_prebirth_renter_liq_nw_to_inc_mean,0.2049211573161884,candidate_reaudit_required,code/data/psid_followup_mar2026/output/entry_wealth_v1/entry_wealth_candidate_targets_focus_v1.csv
