arm,gap,loss_contribution,model,moment,target,weight
floor,0.04866622240215501,3.376721941320185,1.966666222402155,tfr,1.918,1425.7389910084596
floor,-0.0841044628584843,121.5290338277854,0.1038955371415157,childless_rate,0.188,17180.743822072007
floor,0.2601181390999727,1.0825831406213242,25.570678938461974,mean_age_first_birth,25.310560799362,16.0
floor,0.0574008771019201,51.48219831358961,0.3274632539532621,share_first_births_age30plus,0.270062376851342,15625.0
floor,0.025754585595128443,0.6009856758600071,0.6901895855951284,housing_increment_0to1,0.664435,906.0558911497827
floor,-0.00856266819221746,0.21691620822740942,0.35913689061778253,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,2958.514988007638
floor,-0.005711413809966731,0.46417278177710053,0.16195025619003328,own_family_gap,0.16766167,14229.590955975675
floor,0.007008015923255728,0.059320083826618346,0.5824800159232557,own_rate,0.575472,1207.8460856134493
floor,0.6980333043378906,5.833927643488128,6.478003786279858,aggregate_mean_occupied_rooms_18_85,5.779970481941968,11.973159013172177
floor,-1.0789812454651644,7.320108067844189,5.794118754534836,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,6.287669427540395
floor,-8.70182613207579e-05,0.0391124886533456,0.008712981738679243,annual_bequest_flow_to_aggregate_wealth,0.0088,5165289.256198346
floor,-1.3584067387442205,105.1060942892536,2.0897040157012996,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,56.95977216091135
tilt,0.05764745788663328,4.738057732773633,1.9756474578866332,tfr,1.918,1425.7389910084596
tilt,-0.08001880907870537,110.00847117353175,0.10798119092129463,childless_rate,0.188,17180.743822072007
tilt,0.39081171223112676,2.4437407106724005,25.701372511593128,mean_age_first_birth,25.310560799362,16.0
tilt,0.0653954706351152,66.82136843106584,0.3354578474864572,share_first_births_age30plus,0.270062376851342,15625.0
tilt,0.02348533634500527,0.4997451144334151,0.6879203363450053,housing_increment_0to1,0.664435,906.0558911497827
tilt,-0.02590349037255718,1.9851363784994567,0.3417960684374428,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,2958.514988007638
tilt,0.005134055510195218,0.3750710429229856,0.17279572551019523,own_family_gap,0.16766167,14229.590955975675
tilt,0.022575444002310707,0.6155795690864506,0.5980474440023107,own_rate,0.575472,1207.8460856134493
tilt,0.16848711011323836,0.33989291587334786,5.948457592055206,aggregate_mean_occupied_rooms_18_85,5.779970481941968,11.973159013172177
tilt,-1.0854544359757785,7.408203375041722,5.7876455640242215,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,6.287669427540395
tilt,5.4230457048363295e-05,0.015190818552037062,0.008854230457048364,annual_bequest_flow_to_aggregate_wealth,0.0088,5165289.256198346
tilt,-1.3513668881042311,104.01950680039947,2.096743866341289,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,56.95977216091135
chain6,-0.13775278556123038,27.05458061777285,1.7802472144387695,tfr,1.918,1425.7389910084596
chain6,-0.07362979492407498,93.14276883297966,0.11437020507592502,childless_rate,0.188,17180.743822072007
chain6,-0.2907386618914707,1.3524635122950865,25.01982213747053,mean_age_first_birth,25.310560799362,16.0
chain6,0.024918877977957166,9.702351245004978,0.29498125482929916,share_first_births_age30plus,0.270062376851342,15625.0
chain6,0.030640663448890493,0.8506508058892001,0.6950756634488905,housing_increment_0to1,0.664435,906.0558911497827
chain6,-0.018260530887671267,0.9865079125903634,0.3494390279223287,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,2958.514988007638
chain6,-0.007150432442087157,0.7275402609862648,0.16051123755791286,own_family_gap,0.16766167,14229.590955975675
chain6,-0.014280802070267273,0.24632971028506345,0.5611911979297327,own_rate,0.575472,1207.8460856134493
chain6,0.22102616228518546,0.5849195219362502,6.000996644227153,aggregate_mean_occupied_rooms_18_85,5.779970481941968,11.973159013172177
chain6,-1.1857002174254392,8.839740168365767,5.687399782574561,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,6.287669427540395
chain6,-0.0001489171805531854,0.11454714185903933,0.008651082819446815,annual_bequest_flow_to_aggregate_wealth,0.0088,5165289.256198346
chain6,-1.361491027301207,105.58392694463203,2.086619727144313,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,56.95977216091135
