candidate,moment,target,model,gap,weight,loss_contribution,standardized_gap
task_001,tfr,1.918,1.7205973895682232,-0.19740261043177676,1425.7389910084596,55.55789845940058,-7.453717090110181
task_001,childless_rate,0.188,0.3293962900755453,0.14139629007554527,17180.743822072007,343.4930795220264,18.533566292595346
task_001,mean_age_first_birth,26.0446272574833,24.20064700166154,-1.8439802558217586,44.44444444444444,151.1228081715768,-12.29320170547839
task_001,share_first_births_age30plus,0.260327401666964,0.09283916818842312,-0.16748823347854086,10000.0,280.52308353762214,-16.748823347854085
task_001,housing_increment_0to1,0.7202462623815278,0.307820847825262,-0.4124254145562658,137.5652749002964,23.399127269694134,-4.8372644407448036
task_001,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.2756060629750312,-0.09209349583496879,2958.514988007638,25.091792744819227,-5.009170864007259
task_001,own_family_gap,0.16766167,0.012164282837429763,-0.15549738716257025,14229.590955975675,344.0635039523307,-18.54894886381249
task_001,own_rate,0.575472,0.49510304848382064,-0.08036895151617934,1207.8460856134493,7.801681229377504,-2.793148980877587
task_001,aggregate_mean_occupied_rooms_18_85,5.779970481941968,5.390589227729858,-0.38938125421210934,11.973159013172177,1.8153435632521413,-1.347346860779414
task_001,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.226821167889302,0.35372116788930175,6.287669427540395,0.7867048023016617,0.8869638111567245
task_001,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008757616791270803,-4.2383208729197125e-05,5165289.256198346,0.009278597015406462,-0.09632547438453891
task_001,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,2.9854983272455664,-0.46261242719995366,56.95977216091135,12.189975524376356,-3.4914145449053104
