parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9962683045227908,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,0.9999999999999996,0.005,10.0,log,True,estimated_free_transition_parameter,False
joint_nest_lambda,0.8,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,1.019117373770095,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,12.60317614338401,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.7941059815224978,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.1393660781323745,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.24252454397277012,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,3.8961249841224297,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.32228640465315417,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.403567304615042,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.33137437606085257,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,-0.0721929285541894,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
