coefficient,estimate,standard_error
L0event,.1653383164701482,.16325313
L1event,.6283906147880739,.20273459
L2event,.5767335051855603,.18222995
L3event,.3952918390621131,.19716698
L4event,.8036822056423966,.18499739
L5event,.7310396589123201,.19988094
L6event,1.110055556909161,.19129735
L7event,.7210070472425747,.19531009
L8event,1.120543219791429,.18844356
L9event,.7869727777771424,.19483231
L10event,1.17020819754144,.20104313
L11event,.9618713914589768,.16089828
F1event,-.1993178553244478,.17686638
F3event,-.1269617481300238,.20513655
F4event,-.1023798689417336,.20406035
F5event,.1277747201792687,.2680749
F6event,.1004082283243688,.27138653
F7event,.1156181381971355,.22658567
