decision_year,fertility_window_end,metric,baseline,reform,absolute_change,percent_change,percentage_point_change
2023,2027,asset_price,0.8130772443549789,0.7590164149667386,-0.054060829388240306,-6.648916786636579,
2023,2027,renter_price,0.1306055835507558,0.15698981057738406,0.026384227026628265,20.201454110401684,
2023,2027,housing_demand,7.279332373096864,6.970926474320566,-0.3084058987762974,-4.2367333014784645,
2023,2027,resident_persons,2.9659779384078715,2.9659779384078715,0.0,0.0,
2023,2027,household_heads,1.1292476712475494,1.1292476712475852,3.574918139293004e-14,3.1657520580437166e-12,
2023,2027,birth_children_topcode_adjusted,0.10785805545665587,0.10759074186791075,-0.00026731358874512723,-0.2478383163996041,
2023,2027,owner_rate,0.5707342047419406,0.5558670713008067,-0.014867133441133884,-2.6049136914539948,-1.4867133441133884
2023,2027,pension_period_units,2.329995130019973,2.32999513001983,-1.4299672557172016e-13,-6.137211349900735e-12,
2023,2027,equal_transfer_period_units,0.2096496512441569,0.37483703885482283,0.16518738761066593,78.7921118067063,
2023,2027,period_tfr_topcode_adjusted,1.637216402164344,1.633595587959597,-0.003620814204747136,-0.22115672674428033,
2023,2027,rooms_per_head,6.446178777641345,6.173071374695981,-0.27310740294536373,-4.236733301481497,
2027,2031,asset_price,0.8172078856686533,0.7581649863797628,-0.059042899288890505,-7.224954668735313,
2027,2031,renter_price,0.13523594953155202,0.15757539886396624,0.02233944933241422,16.518868991415765,
2027,2031,housing_demand,7.302669008677688,6.965786029411544,-0.33688297926614386,-4.613148683937738,
2027,2031,resident_persons,2.9685097235226143,2.968243875528102,-0.00026584799451212504,-0.008955604639106711,
2027,2031,household_heads,1.1584039347988944,1.1584039347988815,-1.2878587085651816e-14,-1.1117527054919416e-12,
2027,2031,birth_children_topcode_adjusted,0.1083619302744718,0.10842660556120419,6.467528673238798e-05,0.05968450965073327,
2027,2031,owner_rate,0.5785756565662549,0.5682355026603427,-0.010340153905912142,-1.7871740348149356,-1.0340153905912142
2027,2031,pension_period_units,2.066255963395794,2.066255963395891,9.681144774731365e-14,4.685355999563994e-12,
2027,2031,equal_transfer_period_units,0.20606969830418914,0.36472360536716325,0.1586539070629741,76.99041070501188,
2027,2031,period_tfr_topcode_adjusted,1.6295755379774417,1.632746113566416,0.003170575588974378,0.19456450560797928,
2027,2031,rooms_per_head,6.304078214259064,6.013261713083634,-0.29081650117543045,-4.6131486839366715,
2031,2035,asset_price,0.8173926556430156,0.7565528208805239,-0.06083983476249166,-7.443158969250952,
2031,2035,renter_price,0.13843001007442407,0.15931693343006914,0.02088692335564507,15.088435913871306,
2031,2035,housing_demand,7.303894163544356,6.955372599627792,-0.34852156391656397,-4.7717225374941235,
2031,2035,resident_persons,2.9635371152952867,2.9633358249394073,-0.00020129035587945765,-0.006792233336325234,
2031,2035,household_heads,1.1776638055973987,1.1776638055973856,-1.3100631690576847e-14,-1.1124254331592735e-12,
2031,2035,birth_children_topcode_adjusted,0.1077226331534442,0.10799323515291426,0.0002706019994700576,0.2512025482004342,
2031,2035,owner_rate,0.586310198295739,0.5811952306221561,-0.005114967673582993,-0.8723995742272534,-0.5114967673582993
2031,2035,pension_period_units,1.9096658996190266,1.9096658996189955,-3.108624468950438e-14,-1.6278368219124618e-12,
2031,2035,equal_transfer_period_units,0.20277941771612706,0.35746075264882265,0.1546813349326956,76.28058935904211,
2031,2035,period_tfr_topcode_adjusted,1.6258667564379818,1.632616985932631,0.006750229494649096,0.41517728730968007,
2031,2035,rooms_per_head,6.202019735028944,5.9060765615528,-0.29594317347614396,-4.771722537493067,
2035,2039,asset_price,0.8144139835784507,0.7528674798814837,-0.061546503696967014,-7.557152128766018,
2035,2039,renter_price,0.13952836340055016,0.15957499924207,0.020046635841519833,14.367427061386138,
2035,2039,housing_demand,7.286921577797289,6.934886291643188,-0.3520352861541003,-4.831056330106883,
2035,2039,resident_persons,2.949661377232773,2.9497293510549785,6.797382220558035e-05,0.00230446188604029,
2035,2039,household_heads,1.1852080613879703,1.1852080613879494,-2.0872192862952943e-14,-1.7610572812430918e-12,
2035,2039,birth_children_topcode_adjusted,0.10624372510239347,0.10664875047505881,0.00040502537266534633,0.38122286495037616,
2035,2039,owner_rate,0.5888366708620264,0.591231151052131,0.0023944801901045754,0.406645901757304,0.23944801901045754
2035,2039,pension_period_units,1.8768843377890172,1.876884337788991,-2.6201263381153694e-14,-1.395997763613871e-12,
2035,2039,equal_transfer_period_units,0.2002879023822965,0.3524141479491,0.1521262455668035,75.95378640315221,
2035,2039,period_tfr_topcode_adjusted,1.6266492713649865,1.6355685379651024,0.008919266600115883,0.5483214333370936,
2035,2039,rooms_per_head,6.1482214095504375,5.851197369955468,-0.2970240395949695,-4.8310563301051985,
2039,2043,asset_price,0.8098433580632022,0.7481659561584412,-0.06167740190476101,-7.6159668768867705,
2039,2043,renter_price,0.13956012171566007,0.1591314922693063,0.019571370553646245,14.023612413810424,
2039,2043,housing_demand,7.261338031166792,6.907934741329052,-0.3534032898377397,-4.866916927994232,
2039,2043,resident_persons,2.9264383004772503,2.926909159577982,0.00047085910073185744,0.016089835232646753,
2039,2043,household_heads,1.1854866313342531,1.1854866313342127,-4.04121180963557e-14,-3.4089054256877e-12,
2039,2043,birth_children_topcode_adjusted,0.10393684170445429,0.10440956791665229,0.00047272621219800193,0.45482064342709666,
2039,2043,owner_rate,0.5873214485289076,0.5949000240604635,0.007578575531555942,1.2903624668464546,0.7578575531555942
2039,2043,pension_period_units,1.86057553688366,1.8605755368838353,1.751931932858497e-13,9.416075284924289e-12,
2039,2043,equal_transfer_period_units,0.198417977557324,0.34877035409376056,0.15035237653643657,75.77558162188151,
2039,2043,period_tfr_topcode_adjusted,1.6306362468823157,1.6406492983610002,0.010013051478684476,0.6140579481063827,
2039,2043,rooms_per_head,6.1251960496545035,5.827087846241233,-0.29810820341327027,-4.866916927990987,
2043,2047,asset_price,0.8044835691628222,0.742940782054869,-0.061542787107953134,-7.6499744018385645,
2043,2047,renter_price,0.13760541433180157,0.15713044082651992,0.01952502649471835,14.189141168267229,
2043,2047,housing_demand,7.231032812509867,6.8775148242234,-0.35351798828646697,-4.888900347331739,
2043,2047,resident_persons,2.8943989344625214,2.895340025294452,0.0009410908319305022,0.0325142059971515,
2043,2047,household_heads,1.178320489304837,1.1783083461185377,-1.2143186299162778e-05,-0.0010305503816136462,
2043,2047,birth_children_topcode_adjusted,0.1014315357235503,0.10191013794326378,0.00047860221971347816,0.4718475534254941,
2043,2047,owner_rate,0.5842731074375993,0.5985358553078335,0.014262747870234183,2.441109763340845,1.4262747870234183
2043,2047,pension_period_units,1.897835205898583,1.8978163796114926,-1.8826287090378813e-05,-0.0009919874513796357,
2043,2047,equal_transfer_period_units,0.1974758914603553,0.34691001540400174,0.14943412394364644,75.67208474845468,
2043,2047,period_tfr_topcode_adjusted,1.6374999281235605,1.6476896916698789,0.010189763546318398,0.6222756637305642,
2043,2047,rooms_per_head,6.136728401265342,5.836770015996749,-0.2999583852685923,-4.887920169430073,
