measurement,own_rate_2534,interpretation
production_whole_nodes,0.28719917214208124,unchanged model age_to_index aggregation
cells_start_at_node,0.24547059329316231,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.28745250642207765,diagnostic uniform density within each four-year cell
