parameter,estimate,lower_bound,upper_bound,transform,distance_to_nearest_bound,distance_as_share_of_range,near_bound_2pct,near_bound_side,external_restriction,external_restriction_satisfied
beta_annual,0.9946337108345589,0.94,0.9995,discount,0.004866289165441184,0.08178637252842312,False,,>= 0.94,True
psi_child,0.0,0.0,3.0,asinh,0.0,0.0,True,lower,,
kappa_fert,2.9868403225209876,0.02,50.0,log,2.9668403225209876,0.05936055067068803,False,,,
kappa_fert_continuation,1.7133240302362214,0.02,50.0,log,1.6933240302362214,0.03388003261777154,False,,,
chi,1.0369353042009588,0.1,5.0,log,0.9369353042009588,0.19121128657162423,False,,,
H0,9.873032233988866,0.2,80.0,log,9.673032233988867,0.12121594278181537,False,,,
theta0,0.15935051857132962,0.0,8.0,softzero,0.15935051857132962,0.019918814821416202,True,lower,,
theta1,0.09373031820629316,0.02,16.0,log,0.07373031820629315,0.004613912278241123,True,lower,,
hbar_child_rooms,0.6136054836829904,0.1,1.8,log,0.5136054836829904,0.30212087275470023,False,,,
