decision_year,empirical_window,published_tfr,partial_18_44,approximate_18_45,young_component,teen_grouping_difference,published_older_component,delta_m0025,delta_m0025_gap_published,delta_m0025_gap_partial,delta_m005,delta_m005_gap_published,delta_m005_gap_partial,delta_m010,delta_m010_gap_published,delta_m010_gap_partial
2007,2008–2011,1.974875,1.91175,1.91245,0.057425000000000004,0.0022,0.0035,2.007443532754943,0.0325685327549432,0.09569353275494308,1.9244045730762411,-0.050470426923758804,0.012654573076241071,1.7453582929548044,-0.22951670704519556,-0.16639170704519568
2011,2012–2015,1.861,1.819125,1.8199,0.0369,0.0011,0.003875,1.9422043509340172,0.08120435093401723,0.12307935093401712,1.8224815920771895,-0.03851840792281047,0.003356592077189413,1.5720132993075673,-0.2889867006924327,-0.24711170069243282
2015,2016–2019,1.755375,1.726375,1.7272750000000001,0.02395,0.00055,0.0045,1.8834241102393992,0.12804911023939924,0.15704911023939916,1.7329332644902773,-0.022441735509722616,0.006558264490277299,1.4300652739566166,-0.32530972604338326,-0.29630972604338335
2019,2020–2023,1.64575,1.6228500000000001,1.62385,0.0181,-0.0002,0.004999999999999999,1.8427006858544481,0.19695068585444808,0.219850685854448,1.6696841563553548,0.023934156355354785,0.046834156355354706,1.333686308942391,-0.3120636910576091,-0.2891636910576092
