measurement,own_rate_2534,interpretation
production_whole_nodes,0.3611501150827659,unchanged model age_to_index aggregation
cells_start_at_node,0.3138123485763169,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.36182730259763424,diagnostic uniform density within each four-year cell
