f_c_y,K,lastcohort,rows
1972,-2,0,15
1972,-1,0,16
1972,0,0,20
1972,1,0,20
1972,2,0,22
1972,5,0,104
1972,6,0,105
1972,7,0,110
1972,8,0,110
1972,9,0,113
1972,13,0,108
1972,14,0,109
1972,15,0,101
1972,16,0,99
1972,17,0,98
1972,18,0,132
1972,19,0,125
1972,20,0,127
1972,21,0,131
1972,22,0,146
1972,23,0,106
1972,24,0,70
1972,25,0,81
1972,27,0,78
1972,29,0,82
1972,31,0,79
1972,33,0,78
1972,35,0,73
1972,37,0,66
1972,39,0,61
1972,41,0,58
1972,43,0,58
1972,45,0,55
1972,47,0,48
1973,-3,0,15
1973,-2,0,17
1973,-1,0,19
1973,0,0,28
1973,1,0,33
1973,4,0,113
1973,5,0,116
1973,6,0,119
1973,7,0,116
1973,8,0,115
1973,12,0,117
1973,13,0,118
1973,14,0,112
1973,15,0,111
1973,16,0,113
1973,17,0,146
1973,18,0,137
1973,19,0,136
1973,20,0,143
1973,21,0,154
1973,22,0,120
1973,23,0,72
1973,24,0,82
1973,26,0,79
1973,28,0,82
1973,30,0,80
1973,32,0,70
1973,34,0,71
1973,36,0,68
1973,38,0,61
1973,40,0,60
1973,42,0,54
1973,44,0,51
1973,46,0,47
1974,-4,0,6
1974,-3,0,8
1974,-2,0,10
1974,-1,0,13
1974,0,0,15
1974,3,0,129
1974,4,0,125
1974,5,0,130
1974,6,0,131
1974,7,0,127
1974,11,0,128
1974,12,0,124
1974,13,0,117
1974,14,0,120
1974,15,0,122
1974,16,0,161
1974,17,0,158
1974,18,0,154
1974,19,0,160
1974,20,0,170
1974,21,0,128
1974,22,0,84
1974,23,0,86
1974,25,0,83
1974,27,0,75
1974,29,0,71
1974,31,0,72
1974,33,0,63
1974,35,0,60
1974,37,0,58
1974,39,0,55
1974,41,0,54
1974,43,0,54
1974,45,0,49
1975,-5,0,6
1975,-4,0,7
1975,-3,0,8
1975,-2,0,12
1975,-1,0,20
1975,2,0,111
1975,3,0,113
1975,4,0,114
1975,5,0,120
1975,6,0,124
1975,10,0,130
1975,11,0,130
1975,12,0,128
1975,13,0,120
1975,14,0,122
1975,15,0,163
1975,16,0,157
1975,17,0,150
1975,18,0,159
1975,19,0,172
1975,20,0,125
1975,21,0,96
1975,22,0,98
1975,24,0,96
1975,26,0,98
1975,28,0,88
1975,30,0,85
1975,32,0,85
1975,34,0,82
1975,36,0,74
1975,38,0,68
1975,40,0,66
1975,42,0,71
1975,44,0,65
1976,-6,0,4
1976,-5,0,4
1976,-4,0,4
1976,-3,0,7
1976,-2,0,10
1976,1,0,97
1976,2,0,100
1976,3,0,108
1976,4,0,108
1976,5,0,111
1976,9,0,118
1976,10,0,117
1976,11,0,118
1976,12,0,113
1976,13,0,111
1976,14,0,150
1976,15,0,154
1976,16,0,152
1976,17,0,158
1976,18,0,162
1976,19,0,117
1976,20,0,86
1976,21,0,92
1976,23,0,88
1976,25,0,90
1976,27,0,87
1976,29,0,87
1976,31,0,80
1976,33,0,77
1976,35,0,72
1976,37,0,71
1976,39,0,73
1976,41,0,64
1976,43,0,55
1977,-7,0,5
1977,-6,0,5
1977,-5,0,6
1977,-4,0,6
1977,-3,0,7
1977,0,0,95
1977,1,0,103
1977,2,0,108
1977,3,0,129
1977,4,0,124
1977,8,0,125
1977,9,0,126
1977,10,0,129
1977,11,0,128
1977,12,0,124
1977,13,0,165
1977,14,0,165
1977,15,0,162
1977,16,0,165
1977,17,0,178
1977,18,0,136
1977,19,0,109
1977,20,0,116
1977,22,0,113
1977,24,0,110
1977,26,0,101
1977,28,0,88
1977,30,0,85
1977,32,0,85
1977,34,0,83
1977,36,0,68
1977,38,0,69
1977,40,0,69
1977,42,0,64
1979,-9,0,4
1979,-8,0,4
1979,-7,0,7
1979,-6,0,9
1979,-5,0,12
1979,-2,0,67
1979,-1,0,83
1979,0,0,113
1979,1,0,124
1979,2,0,130
1979,6,0,145
1979,7,0,137
1979,8,0,137
1979,9,0,143
1979,10,0,140
1979,11,0,175
1979,12,0,167
1979,13,0,170
