coefficient,estimate,standard_error
Wleft,.6401899764979384,.52179158
Wm2,-.3164984478338139,.39115998
Wm1,-.3070769654150718,.2873494
Wp1,.5439708476403423,.17604555
Wp2,.9717365107889707,.18989339
Wp3,1.033072924999915,.19617893
Wp4,1.507464751713676,.19614533
Wp5,1.566733673367752,.21138267
Wp6,1.449233516105004,.21664537
Wright,1.806442501975194,.21731633
