coefficient,estimate,standard_error
Wleft,-.1230575773924677,.14091924
Wm2,-.2815662033244798,.13217922
Wm1,-.1917247448778923,.085300222
Wp1,.2974150013948321,.069804564
Wp2,.6980253909666156,.081714608
Wp3,1.058368617286102,.090651348
Wp4,1.296085472188483,.097236797
Wp5,1.451363518002465,.10219749
Wp6,1.468992552243458,.12228887
Wright,1.345867315984466,.14881159
