candidate,period,calendar_year,period_tfr_explicit_states,period_tfr_topcode_adjusted,period_first_birth_mean_age,period_first_birth_share_age30plus,role,denominator
task_001,0,2007.0,1.8854469334440833,2.1000062804356516,29.161211731926407,0.3869791809574263,untargeted_current-rate_diagnostic,model pre-fertility adult-household mass by age
task_001,1,2011.0,1.714044802663999,1.9170609543168196,29.314072147513286,0.39971619772502204,untargeted_current-rate_diagnostic,model pre-fertility adult-household mass by age
task_001,2,2015.0,1.5411633732935426,1.7295746991933383,29.538215952962226,0.41459191611838186,untargeted_current-rate_diagnostic,model pre-fertility adult-household mass by age
task_001,3,2019.0,1.368129009733347,1.5376147117430006,29.791443453248405,0.42864728779974826,untargeted_current-rate_diagnostic,model pre-fertility adult-household mass by age
task_001,4,2023.0,1.1970309316260925,1.3443527905461572,30.173215810866807,0.45819856567653094,untargeted_current-rate_diagnostic,model pre-fertility adult-household mass by age
