parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9956918643790077,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
kappa_fert_continuation,1.766446315263779,0.02,50.0,log,True,estimated_free_transition_parameter,False
chi,1.049869529311166,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,14.427261788151577,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.5663517884297847,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.1052518065823461,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.2337413868034396,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,4.555364635392782,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.606177699084433,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.32550679103127156,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.2962767715881653,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,-0.02923001944310627,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
