measurement,own_rate_2534,interpretation
production_whole_nodes,0.33540467247292854,unchanged model age_to_index aggregation
cells_start_at_node,0.29269401820148006,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.3348610799266026,diagnostic uniform density within each four-year cell
