year,period_tfr_births_per_woman,published_tfr_per_1000_women,live_births,source_id,tfr_table,tfr_pdf_page,births_table,births_pdf_page,status,source_url
2007,2.12,2120.0,4316233,nchs_2015_final,4,20,1,16,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr66/NVSR66_01.pdf
2008,2.072,2072.0,4247694,nchs_2015_final,4,20,1,16,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr66/NVSR66_01.pdf
2009,2.002,2002.0,4130665,nchs_2015_final,4,20,1,16,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr66/NVSR66_01.pdf
2010,1.931,1931.0,3999386,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2011,1.8945,1894.5,3953590,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2012,1.8805,1880.5,3952841,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2013,1.8575,1857.5,3932181,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2014,1.8625,1862.5,3988076,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2015,1.8435,1843.5,3978497,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2016,1.8205,1820.5,3945875,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2017,1.7655,1765.5,3855500,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2018,1.7295,1729.5,3791712,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2019,1.706,1706.0,3747540,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2020,1.6415,1641.5,3613647,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2021,1.664,1664.0,3664292,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2022,1.6565,1656.5,3667758,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
2023,1.621,1621.0,3596017,nchs_2023_final,2,14,1,12,verified_published_final,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-1.pdf
