year,published_row_label,households_thousands,households_stock_proxy,xlsx_row_1_based,source_id,selection
2007,2007.0,116011.0,116011000,31,census_hh3,selected_revised_if_available
2008,2008.0,116783.0,116783000,30,census_hh3,selected_revised_if_available
2009,2009.0,117181.0,117181000,29,census_hh3,selected_revised_if_available
2010,2010.0,117538.0,117538000,28,census_hh3,selected_revised_if_available
2011,2011r,119927.0,119927000,26,census_hh3,selected_revised_if_available
2012,2012.0,121084.0,121084000,25,census_hh3,selected_revised_if_available
2013,2013.0,122459.0,122459000,24,census_hh3,selected_revised_if_available
2014,2014s,123229.0,123229000,23,census_hh3,selected_revised_if_available
2015,2015.0,124587.0,124587000,22,census_hh3,selected_revised_if_available
2016,2016.0,125819.0,125819000,21,census_hh3,selected_revised_if_available
2017,2017.0,126224.0,126224000,20,census_hh3,selected_revised_if_available
2018,2018.0,127586.0,127586000,19,census_hh3,selected_revised_if_available
2019,2019.0,128579.0,128579000,18,census_hh3,selected_revised_if_available
2020,2020.0,128451.0,128451000,17,census_hh3,selected_revised_if_available
2021,2021r,129244.0,129244000,15,census_hh3,selected_revised_if_available
2022,2022.0,131202.0,131202000,14,census_hh3,selected_revised_if_available
2023,2023.0,131434.0,131434000,13,census_hh3,selected_revised_if_available
