year,female_denominator_age_group,births_per_1000_females,source_id,female_exposure_count,exposure_status
2007,10-14,0.6,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2007,15-19,41.5,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2007,20-24,105.4,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2007,25-29,118.1,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2007,30-34,100.6,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2007,35-39,47.6,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2007,40-44,9.6,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2007,45-49,0.6,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2008,10-14,0.6,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2008,15-19,40.2,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2008,20-24,101.8,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2008,25-29,115.0,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2008,30-34,99.4,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2008,35-39,46.8,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2008,40-44,9.9,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2008,45-49,0.7,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2009,10-14,0.5,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2009,15-19,37.9,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2009,20-24,96.2,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2009,25-29,111.5,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2009,30-34,97.5,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2009,35-39,46.1,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2009,40-44,10.0,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2009,45-49,0.7,nchs_2015_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2010,10-14,0.4,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2010,15-19,34.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2010,20-24,90.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2010,25-29,108.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2010,30-34,96.5,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2010,35-39,45.9,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2010,40-44,10.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2010,45-49,0.7,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2011,10-14,0.4,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2011,15-19,31.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2011,20-24,85.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2011,25-29,107.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2011,30-34,96.5,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2011,35-39,47.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2011,40-44,10.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2011,45-49,0.7,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2012,10-14,0.4,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2012,15-19,29.4,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2012,20-24,83.1,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2012,25-29,106.5,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2012,30-34,97.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2012,35-39,48.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2012,40-44,10.4,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2012,45-49,0.7,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2013,10-14,0.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2013,15-19,26.5,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2013,20-24,80.7,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2013,25-29,105.5,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2013,30-34,98.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
