age_lower,age_upper,mean_rooms_capped9,ownership_rate,source
18,21,4.057967443790802,0.10217919749141957,ACS 42 metros
22,25,4.211906769873713,0.20389508119228847,ACS 42 metros
26,29,4.69911789401865,0.36924680146924793,ACS 42 metros
30,33,5.100199593476911,0.4908112374416113,ACS 42 metros
34,37,5.531098926246752,0.5804244389602442,ACS 42 metros
38,41,5.774871814223043,0.6411592886113765,ACS 42 metros
42,45,5.909696177791744,0.6787243724280868,ACS 42 metros
46,49,5.956102627694795,0.7080647541246105,ACS 42 metros
50,53,5.950346560850629,0.7315166631043671,ACS 42 metros
54,57,5.94390133294744,0.7514132827104051,ACS 42 metros
58,61,5.917179875537633,0.770398451874881,ACS 42 metros
62,65,5.800496967585859,0.775504695659786,ACS 42 metros
66,69,5.703744303072665,0.7812443212446823,ACS 42 metros
70,73,5.563302695550799,0.77507342644013,ACS 42 metros
74,77,5.45320961225613,0.7727214065011149,ACS 42 metros
78,81,5.288844907217694,0.7527676727887038,ACS 42 metros
82,85,5.126617284038018,0.7116514361035363,ACS 42 metros
18,21,4.435234688305833,0.057107141886271,original
22,25,5.068843853799589,0.1694432613188621,original
26,29,5.580686504104067,0.2497041842646625,original
30,33,5.992755139622326,0.36114302068714665,original
34,37,6.302819216001892,0.4403530435647927,original
38,41,6.534531270887836,0.5184243157899103,original
42,45,6.69034411280133,0.5808969481520517,original
46,49,6.735972103518164,0.6199542174966646,original
50,53,6.771433412546228,0.6498052929473807,original
54,57,6.802997003768128,0.6774965655444983,original
58,61,6.827370678634951,0.7069569220706713,original
62,65,6.853842907440227,0.7348126993227142,original
66,69,7.048602137978868,0.7588372787751652,original
70,73,7.0750781407651795,0.7702991207809897,original
74,77,7.052574044614333,0.7927278639187668,original
78,81,6.9856971360380635,0.8636334392205628,original
82,85,6.889145920560058,0.9212539426573271,original
18,21,4.056201211004036,0.04662877122828097,refit_new_income
22,25,4.856492769336584,0.1793337715063294,refit_new_income
26,29,5.49123951630883,0.2653416923925836,refit_new_income
30,33,5.9523729641993715,0.34282002786229343,refit_new_income
34,37,6.296382022578399,0.40509060590999696,refit_new_income
38,41,6.594057324239014,0.4697292619079601,refit_new_income
42,45,6.823912394258949,0.5194962423760654,refit_new_income
46,49,6.946330734864463,0.548846242537843,refit_new_income
50,53,7.041639837001035,0.5689601353385896,refit_new_income
54,57,7.128616563132224,0.585636518513998,refit_new_income
58,61,7.220009474046155,0.6015346005886825,refit_new_income
62,65,7.322904981622944,0.6158854890514669,refit_new_income
66,69,7.61827796480297,0.6291131423890246,refit_new_income
70,73,7.68156060800358,0.637028389288956,refit_new_income
74,77,7.745193079613371,0.6502792959410227,refit_new_income
78,81,7.7993028059305844,0.6852818619341354,refit_new_income
82,85,7.830283471351967,0.773754295529587,refit_new_income
18,21,3.4818104647790964,0.038994756245609434,stationary_new_income
22,25,4.284077196100171,0.1521198314881468,stationary_new_income
26,29,5.008313960956107,0.24697262777286305,stationary_new_income
30,33,5.548472041493288,0.3302857088065385,stationary_new_income
34,37,5.929222050001845,0.3934773083011186,stationary_new_income
38,41,6.23442212854086,0.45865003438820434,stationary_new_income
42,45,6.4670718065081845,0.5176979072950771,stationary_new_income
46,49,6.5732420721887355,0.5633667836763304,stationary_new_income
50,53,6.660527202991216,0.6040415411197643,stationary_new_income
54,57,6.735965709786664,0.64370458569019,stationary_new_income
58,61,6.803669347638849,0.6838467935308967,stationary_new_income
62,65,6.86147819925688,0.7235198158598128,stationary_new_income
66,69,7.069553913988696,0.7525465402733348,stationary_new_income
70,73,7.082416961616121,0.7665427477711478,stationary_new_income
74,77,7.0471867217233815,0.7886839514226256,stationary_new_income
78,81,6.97976207033739,0.8708830938787313,stationary_new_income
82,85,6.892599107597347,0.9237442201263287,stationary_new_income
