scope,stage,case,candidate,moment,target,model,gap,weight,loss_contribution,standardized_gap
search,polish_1_coordinates,task_001,task_001,tfr,1.918,1.9234821854412216,0.005482185441221699,1425.7389910084596,0.04284966892676365,0.20700161575882361
search,polish_1_coordinates,task_001,task_001,childless_rate,0.188,0.18920389455835265,0.0012038945583526528,17180.743822072007,0.024901119076628783,0.15780088427074412
search,polish_1_coordinates,task_001,task_001,mean_age_first_birth,26.0446272574833,26.361825948967162,0.31719869148386337,44.44444444444444,4.471778216847784,2.114657943225756
search,polish_1_coordinates,task_001,task_001,share_first_births_age30plus,0.260327401666964,0.243898222253229,-0.016429179413735007,10000.0,2.6991793620869413,-1.6429179413735007
search,polish_1_coordinates,task_001,task_001,housing_increment_0to1,0.7202462623815278,0.513684818205884,-0.20656144417564382,137.5652749002964,5.869584280548537,-2.4227224935077762
search,polish_1_coordinates,task_001,task_001,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.3685856588806322,0.0008861000706322231,2958.514988007638,0.002322947080297498,0.048196961318090356
search,polish_1_coordinates,task_001,task_001,own_family_gap,0.16766167,0.17486034667853223,0.007198676678532218,14229.590955975675,0.7373908634224167,0.858714657742848
search,polish_1_coordinates,task_001,task_001,own_rate,0.575472,0.5505781626543472,-0.02489383734565276,1207.8460856134493,0.7485060092242168,-0.8651624178292865
search,polish_1_coordinates,task_001,task_001,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.346431261339286,0.5664607793973184,11.973159013172177,3.8419210979501135,1.9600819110307899
search,polish_1_coordinates,task_001,task_001,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.031915917286466,0.15881591728646605,6.287669427540395,0.15859071436690733,0.398234496706284
search,polish_1_coordinates,task_001,task_001,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008501002844104703,-0.00029899715589529717,5165289.256198346,0.4617732398423379,-0.6795389906711299
search,polish_1_coordinates,task_001,task_001,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.2619728593825985,-0.18613789506292155,56.95977216091135,1.9735032241199113,-1.404814302361672
search,polish_1_coordinates,task_002,task_001,tfr,1.918,1.9233407230400226,0.0053407230400226435,1425.7389910084596,0.04066681317000148,0.20166014274020902
search,polish_1_coordinates,task_002,task_001,childless_rate,0.188,0.1891826729605049,0.0011826729605048936,17180.743822072007,0.024030969790667687,0.15501925619311843
search,polish_1_coordinates,task_002,task_001,mean_age_first_birth,26.0446272574833,26.36091661830258,0.3162893608192796,44.44444444444444,4.446175989665264,2.1085957387951972
search,polish_1_coordinates,task_002,task_001,share_first_births_age30plus,0.260327401666964,0.2438325948915413,-0.0164948067754227,10000.0,2.720786505585306,-1.64948067754227
search,polish_1_coordinates,task_002,task_001,housing_increment_0to1,0.7202462623815278,0.5142205192748586,-0.2060257431066692,137.5652749002964,5.8391791361433665,-2.4164393508100646
search,polish_1_coordinates,task_002,task_001,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.3687615295346047,0.0010619707246047327,2958.514988007638,0.0033365594174284575,0.05776295887009648
search,polish_1_coordinates,task_002,task_001,own_family_gap,0.16766167,0.17530372281445383,0.00764205281445382,14229.590955975675,0.8310219318766773,0.9116040433634974
