scope,stage,case,parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
search,polish_1_coordinates,task_001,beta_annual,0.9956918643790077,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_001,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_001,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_001,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_001,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_001,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_001,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_001,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_001,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_001,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_001,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_001,psi_child_2007,0.3009503356931856,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_001,psi_child_2023,-0.02638872072767323,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_001,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_001,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_002,beta_annual,0.9957667560525304,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_002,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_002,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_002,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_002,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_002,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_002,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_002,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_002,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_002,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_002,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
