scope,stage,case,loss,occupied_value_decreases,summary_sha256
search,polish_1_coordinates,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906b/output/model/e5f_full_joint_overnight_20260906a/recovery_01/search/polish_1_coordinates/task_001,21.03230074349286,0,3a772289996a0c6e25814ec75fdcb1b389c68536793f5490f9f619290027f738
search,polish_1_coordinates,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906b/output/model/e5f_full_joint_overnight_20260906a/recovery_01/search/polish_1_coordinates/task_002,20.394978401874816,0,600b00e9038dd4ba961fa3d5a864dd85e82a8840c86ca33e760601566469ad4f
search,polish_1_coordinates,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906b/output/model/e5f_full_joint_overnight_20260906a/recovery_01/search/polish_1_coordinates/task_003,20.49416423103233,0,c72334719a305f0d003d65a7290bf8585b5ad4e00fac37b3620e562cae1461b4
search,polish_1_coordinates,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906b/output/model/e5f_full_joint_overnight_20260906a/recovery_01/search/polish_1_coordinates/task_004,20.40160802513753,0,1aa9e83e4ab96e4aba2d0ae5eee12a4efc7af638c11cbcb6aec3b162f75563c9
search,polish_1_coordinates,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906b/output/model/e5f_full_joint_overnight_20260906a/recovery_01/search/polish_1_coordinates/task_005,20.63930694599736,0,f4c4324b8ae27811873e77b821ae141f757f5f39f13bd440d1e4739398dca43e
search,polish_1_coordinates,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906b/output/model/e5f_full_joint_overnight_20260906a/recovery_01/search/polish_1_coordinates/task_006,20.176698928323127,0,b8991dfdd06e8ac4ead5940d0e5c5f08e12c799705a4cb3fad71a37b24feaa23
search,polish_1_coordinates,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906b/output/model/e5f_full_joint_overnight_20260906a/recovery_01/search/polish_1_coordinates/task_007,22.309841211814756,0,faf1cff4952b1de12fb4289fb1cb44cbe0c462aa9c4147c5b2cd11b7d7cfaf38
search,polish_1_coordinates,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906b/output/model/e5f_full_joint_overnight_20260906a/recovery_01/search/polish_1_coordinates/task_008,19.863820532135396,0,a02ad5cc9d62f9846bad5816f3fb46bbadaab4da24e99d504d424e2fd80e48c6
search,polish_1_coordinates,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906b/output/model/e5f_full_joint_overnight_20260906a/recovery_01/search/polish_1_coordinates/task_009,21.053226882603145,0,8d6b8ee5d04717077b4dfcf0ab46b092223957c42987f79e18a313b4e68e4fb5
search,polish_1_coordinates,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906b/output/model/e5f_full_joint_overnight_20260906a/recovery_01/search/polish_1_coordinates/task_010,20.434719221025397,0,afb5d3224a2889de524d3e7133b1f3f6e73c7c9e613188a14cf8b6e3c1ddc69c
search,polish_1_coordinates,/scratch/td2248/projects/Fertility_Spring26_full_joint_overnight_20260906b/output/model/e5f_full_joint_overnight_20260906a/recovery_01/search/polish_1_coordinates/task_011,21.04109926914879,0,6de83ec89ec38547f08bc04e9ecfc69cbacf50f8b46071639e4d198516fb44ca
