age,income_group,probability_3y,conditional_amount_3y
25,bottom50,0.0263,11.1566
25,middle40,0.041,26.4286
25,top10,0.054,283.5551
26,bottom50,0.0257,12.3802
26,middle40,0.0419,38.0259
26,top10,0.0531,284.4703
27,bottom50,0.026,18.2947
27,middle40,0.0426,47.8852
27,top10,0.0524,297.4855
28,bottom50,0.0248,19.0704
28,middle40,0.0415,49.0738
28,top10,0.0536,310.4696
29,bottom50,0.0255,27.9056
29,middle40,0.0422,63.4746
29,top10,0.0517,307.3185
30,bottom50,0.0247,29.3991
30,middle40,0.0408,63.9588
30,top10,0.0515,319.2375
31,bottom50,0.0258,40.5702
31,middle40,0.0425,76.3655
31,top10,0.0526,333.7292
32,bottom50,0.0254,43.8433
32,middle40,0.0427,80.2109
32,top10,0.054,340.7831
33,bottom50,0.0252,44.1817
33,middle40,0.0424,86.0736
33,top10,0.0531,345.4809
34,bottom50,0.026,51.485
34,middle40,0.0428,93.1498
34,top10,0.0517,340.6185
35,bottom50,0.0259,52.7191
35,middle40,0.0438,97.0077
35,top10,0.0559,358.1796
36,bottom50,0.0262,58.8311
36,middle40,0.0442,101.9923
36,top10,0.0566,360.4529
37,bottom50,0.0269,61.6283
37,middle40,0.0454,106.5248
37,top10,0.0545,360.793
38,bottom50,0.0275,67.7153
38,middle40,0.0453,110.142
38,top10,0.0584,371.5491
39,bottom50,0.0282,73.8255
39,middle40,0.0454,112.0081
39,top10,0.0588,371.3802
40,bottom50,0.0291,77.9346
40,middle40,0.0493,126.0927
40,top10,0.0614,383.1901
41,bottom50,0.0294,81.08
41,middle40,0.0501,126.8239
41,top10,0.0628,384.7587
42,bottom50,0.0305,83.2333
42,middle40,0.0515,129.7113
42,top10,0.0646,389.1613
43,bottom50,0.0309,89.319
43,middle40,0.0523,134.4586
43,top10,0.0644,382.9836
44,bottom50,0.0318,90.3465
44,middle40,0.0534,138.9354
44,top10,0.0678,395.7082
45,bottom50,0.0327,95.6426
45,middle40,0.0537,137.4764
45,top10,0.0698,397.9167
46,bottom50,0.0337,99.0197
46,middle40,0.0558,140.0712
46,top10,0.0713,397.4727
47,bottom50,0.0348,102.6825
47,middle40,0.058,146.0317
47,top10,0.0724,399.6094
48,bottom50,0.0355,104.6912
48,middle40,0.0591,147.349
48,top10,0.0741,404.868
49,bottom50,0.0373,111.2034
49,middle40,0.0618,152.7403
49,top10,0.0765,408.5334
50,bottom50,0.0367,107.3902
50,middle40,0.0617,152.5602
50,top10,0.0769,407.7383
51,bottom50,0.0367,110.1318
51,middle40,0.0639,157.0653
51,top10,0.0812,408.9517
52,bottom50,0.037,110.0612
52,middle40,0.0632,151.9768
52,top10,0.0829,412.0812
53,bottom50,0.0401,117.2077
53,middle40,0.067,158.1546
53,top10,0.0845,414.0314
54,bottom50,0.04,118.3034
54,middle40,0.0684,162.3145
54,top10,0.0863,413.5127
55,bottom50,0.0397,115.7408
55,middle40,0.0684,157.1083
55,top10,0.0877,417.1698
56,bottom50,0.0417,118.5495
56,middle40,0.0698,161.5343
56,top10,0.09,422.2037
57,bottom50,0.0414,117.0594
57,middle40,0.0702,159.1595
57,top10,0.0889,424.1363
58,bottom50,0.0434,118.6336
58,middle40,0.0707,157.8828
58,top10,0.0896,417.4794
59,bottom50,0.0441,119.6969
59,middle40,0.0732,164.7915
59,top10,0.0942,424.166
60,bottom50,0.042,113.614
60,middle40,0.0725,160.8385
60,top10,0.0919,420.6898
61,bottom50,0.042,112.0609
61,middle40,0.0739,164.4774
61,top10,0.0953,421.864
62,bottom50,0.0421,115.395
62,middle40,0.0728,160.5055
62,top10,0.0955,424.0162
63,bottom50,0.0423,109.745
63,middle40,0.0746,161.7829
63,top10,0.0942,421.9164
64,bottom50,0.0415,112.0359
64,middle40,0.0715,155.8883
64,top10,0.093,417.1675
65,bottom50,0.0414,112.1802
65,middle40,0.0742,157.7363
65,top10,0.0933,414.9262
66,bottom50,0.0411,108.1885
66,middle40,0.0709,157.9671
66,top10,0.0904,420.6444
67,bottom50,0.0416,106.9034
67,middle40,0.0697,151.5748
67,top10,0.0893,411.274
68,bottom50,0.0392,104.5845
68,middle40,0.066,148.8167
68,top10,0.0865,406.2771
69,bottom50,0.0374,99.4852
69,middle40,0.0657,149.5475
69,top10,0.0866,412.9524
70,bottom50,0.0361,98.0026
70,middle40,0.0652,149.2658
70,top10,0.0779,404.246
71,bottom50,0.0356,97.3241
71,middle40,0.0615,146.1117
71,top10,0.0808,407.2015
72,bottom50,0.0327,88.8459
72,middle40,0.0598,138.6289
72,top10,0.0743,394.6463
73,bottom50,0.0327,95.0739
73,middle40,0.057,137.0561
73,top10,0.078,403.2726
74,bottom50,0.0295,89.4515
74,middle40,0.0558,143.3084
74,top10,0.0726,406.4092
75,bottom50,0.0259,82.3133
75,middle40,0.049,125.7522
75,top10,0.0702,402.788
76,bottom50,0.0259,80.8502
76,middle40,0.0471,128.9017
76,top10,0.0637,397.5989
77,bottom50,0.0249,84.0426
77,middle40,0.0446,131.1419
77,top10,0.0545,363.4744
78,bottom50,0.0212,75.9806
78,middle40,0.0402,124.0558
78,top10,0.056,386.0152
79,bottom50,0.019,69.7134
79,middle40,0.0354,108.918
79,top10,0.0492,379.5119
80,bottom50,0.0186,71.5786
80,middle40,0.0315,106.3383
80,top10,0.0483,389.7972
