age,income_group,probability_3y,conditional_amount_3y,probability_4y,mean_amount_4y,conditional_amount_4y
25,bottom50,0.0263,11.1566,0.03491204945003106,0.3912247733333333,11.206009944884093
25,middle40,0.041,26.4286,0.05428964815755678,1.4447634666666667,26.6121353830429
25,top10,0.054,283.5551,0.07134404382864533,20.415967199999997,286.1621812331696
26,bottom50,0.0257,12.3802,0.03411904375832751,0.4242281866666667,12.433765426474604
26,middle40,0.0419,38.0259,0.055472833642004046,2.12438028,38.295867373744876
26,top10,0.0531,284.4703,0.07016585798305551,20.140497240000002,287.0412736186276
27,bottom50,0.026,18.2947,0.03451556695853507,0.6342162666666666,18.37478919087657
27,middle40,0.0426,47.8852,0.056392832937320024,2.7198793599999997,48.23094032220573
27,top10,0.0524,297.4855,0.0692492330933588,20.784320266666665,300.1379125548748
28,bottom50,0.0248,19.0704,0.03292922998898328,0.6305945599999999,19.14999409980039
28,middle40,0.0415,49.0738,0.054947019143864705,2.715416933333333,49.418821541960426
28,top10,0.0536,310.4696,0.07082045178105269,22.188227413333333,313.30253980771096
29,bottom50,0.0255,27.9056,0.033854672346365314,0.9487903999999998,28.025390123200033
29,middle40,0.0422,63.4746,0.05586714649922063,3.57150416,63.92852300143563
29,top10,0.0517,307.3185,0.06833238246971139,21.184488599999998,310.0212203107379
30,bottom50,0.0247,29.3991,0.03279700585754106,0.9682103599999998,29.52130338377757
30,middle40,0.0408,63.9588,0.05402666776917299,3.47935872,64.40076472725352
30,top10,0.0515,319.2375,0.06807038370288224,21.920974999999995,322.03395673046305
31,bottom50,0.0258,40.5702,0.03425122268107092,1.39561488,40.74642511291406
31,middle40,0.0425,76.3655,0.05626141818998504,4.327378333333334,76.9155572780005
31,top10,0.0526,333.7292,0.06951114895792503,23.405541226666664,336.7163624476125
32,bottom50,0.0254,43.8433,0.03372247985776531,1.4848264266666664,44.03076028006742
32,middle40,0.0427,80.2109,0.05652424310933088,4.566673906666667,80.79142073311216
32,top10,0.054,340.7831,0.07134404382864533,24.536383199999996,343.91635073183784
33,bottom50,0.0252,44.1817,0.03345808131687398,1.48450512,44.36910490893322
33,middle40,0.0424,86.0736,0.05612999886764447,4.866027519999999,86.6921008046727
33,top10,0.0531,345.4809,0.07016585798305551,24.460047720000002,348.60327263306476
34,bottom50,0.026,51.485,0.03451556695853507,1.7848133333333331,51.710387242878
34,middle40,0.0428,93.1498,0.05665564870569896,5.3157485866666665,93.82557093785351
34,top10,0.0517,340.6185,0.06833238246971139,23.4799686,343.614078001855
35,bottom50,0.0259,52.7191,0.034383397081243286,1.820566253333333,52.948993057072954
35,middle40,0.0438,97.0077,0.057969452938891795,5.66524968,97.72818946509628
35,top10,0.0559,358.1796,0.07383009797555275,26.696319519999996,361.5912785167901
36,bottom50,0.0262,58.8311,0.03477989314323861,2.0551664266666663,59.09064809953855
36,middle40,0.0442,101.9923,0.058494846433802525,6.010746213333333,102.75685089857578
36,top10,0.0566,360.4529,0.0747455925242062,27.20217885333333,363.93020557732495
37,bottom50,0.0269,61.6283,0.03570489227343912,2.2104016933333335,61.90753010554948
37,middle40,0.0454,106.5248,0.06007058711553795,6.448301226666667,107.34540040809321
37,top10,0.0545,360.793,0.0719984301155149,26.217624666666662,364.14161565193683
38,bottom50,0.0275,67.7153,0.03649757216161034,2.4828943333333333,68.02902731006706
38,middle40,0.0453,110.142,0.05993930059789975,6.652576799999999,110.98856232288274
38,top10,0.0584,371.5491,0.0770986814864253,28.93128992,375.2501257118633
39,bottom50,0.0282,73.8255,0.03742215934303886,2.7758388,74.17633960014528
39,middle40,0.0454,112.0081,0.06007058711553795,6.7802236533333335,112.8709403204676
39,top10,0.0588,371.3802,0.07762138665185804,29.11620768,375.1054823407105
40,bottom50,0.0291,77.9346,0.03861058811463779,3.02386248,78.3169236122983
40,middle40,0.0493,126.0927,0.06518718240700717,8.288493479999998,127.14912922987513
40,top10,0.0614,383.1901,0.08101716449526654,31.370496186666667,387.2080241527029
41,bottom50,0.0294,81.08,0.03900664945906764,3.178336,81.48190229297305
41,middle40,0.0501,126.8239,0.06623587684310468,8.47183652,127.90404420956857
41,top10,0.0628,384.7587,0.08284436248438544,32.21712847999999,388.887396967685
42,bottom50,0.0305,83.2333,0.04045852522614213,3.3848208666666664,83.66149897326403
42,middle40,0.0515,129.7113,0.06807038370288224,8.906842599999997,130.84754507741764
42,top10,0.0646,389.1613,0.0851922803547105,33.519759973333336,393.46006274006186
43,bottom50,0.0309,89.319,0.04098634395708621,3.6799428,89.78460737686186
43,middle40,0.0523,134.4586,0.06911826825069099,9.376246373333332,135.655111313348
43,top10,0.0644,382.9836,0.08493147490460257,32.88552512,387.20068333839663
44,bottom50,0.0318,90.3465,0.042173670573438446,3.8306916,90.8313539683364
44,middle40,0.0534,138.9354,0.0705586280917062,9.89220048,140.1983109300672
44,top10,0.0678,395.7082,0.08936263790123776,35.77202128,400.3017605583073
45,bottom50,0.0327,95.6426,0.04336062934962463,4.17001736,96.17059121481823
45,middle40,0.0537,137.4764,0.07095135670982564,9.843310240000001,138.73322084955788
45,top10,0.0698,397.9167,0.09196669020384524,37.03278088,402.67602104540686
46,bottom50,0.0337,99.0197,0.044679040739316056,4.449285186666667,99.58327468636642
46,middle40,0.0558,140.0712,0.07369929456464609,10.42129728,141.40294478475437
46,top10,0.0713,397.4727,0.09391850525392528,37.78640468,402.33183628548784
47,bottom50,0.0348,102.6825,0.046128768055724946,4.764468,103.28626149834261
47,middle40,0.058,146.0317,0.07657590229915899,11.293118133333333,147.47613536716187
47,top10,0.0724,399.6094,0.09534916867208769,38.57562741333333,404.5722469379628
48,bottom50,0.0355,104.6912,0.04705103513850304,4.955383466666666,105.31932936394743
48,middle40,0.0591,147.349,0.07801336693648962,11.611101199999998,148.83476583509787
48,top10,0.0741,404.868,0.09755908166870221,40.0009584,410.017783232503
49,bottom50,0.0373,111.2034,0.04942155441612922,5.53051576,111.9049334918341
49,middle40,0.0618,152.7403,0.08153931382747412,12.58580072,154.3525463879891
49,top10,0.0765,408.5334,0.10067665662280685,41.670406799999995,413.903363478999
50,bottom50,0.0367,107.3902,0.04863154533933169,5.254960453333333,108.05662079348491
50,middle40,0.0617,152.5602,0.08140878344990098,12.550619119999999,154.1678746215838
50,top10,0.0769,407.7383,0.10119599012405356,41.80676702666666,413.1267155488752
51,bottom50,0.0367,110.1318,0.04863154533933169,5.38911608,110.81523407074316
51,middle40,0.0639,157.0653,0.08427937997797774,13.38196356,158.78099202315818
51,top10,0.0812,408.9517,0.10677408361072811,44.27583738666666,414.66839039410917
52,bottom50,0.037,110.0612,0.04902657038679292,5.429685866666666,110.74986122482979
52,middle40,0.0632,151.9768,0.08336625202229594,12.806578346666667,153.618257220459
52,top10,0.0829,412.0812,0.10897697956970641,45.54870864,417.96633398951076
53,bottom50,0.0401,117.2077,0.05310609248414787,6.266705026666666,118.00350456093665
53,middle40,0.067,158.1546,0.0883204952005531,14.128477599999998,159.9682788000437
53,top10,0.0845,414.0314,0.11104905042654528,46.64753773333334,420.06246387661736
54,bottom50,0.04,118.3034,0.052974563457099486,6.309514666666666,119.10460898420267
54,middle40,0.0684,162.3145,0.09014404932472128,14.803082400000001,164.21585796168992
54,top10,0.0863,413.5127,0.1133786876225177,47.58152801333333,419.66906665696274
55,bottom50,0.0397,115.7408,0.05257994897486633,6.126546346666666,116.51868185713167
55,middle40,0.0684,157.1083,0.09014404932472128,14.328276960000002,158.94867234537008
55,top10,0.0877,417.1698,0.11518957047079324,48.781055280000004,423.4850002532879
56,bottom50,0.0417,118.5495,0.05520993553785248,6.591352199999999,119.38706567554136
56,middle40,0.0698,161.5343,0.09196669020384524,15.033458853333332,163.46634656538683
56,top10,0.09,422.2037,0.11816258140755137,50.664444,428.7689334177174
57,bottom50,0.0414,117.0594,0.054815554088977377,6.46167888,117.88038974323442
57,middle40,0.0702,159.1595,0.09248727687371007,14.8973292,161.07436291309637
57,top10,0.0889,424.1363,0.11674101872111713,50.27428942666667,430.64802738073604
58,bottom50,0.0434,118.6336,0.057443986177559817,6.864930986666667,119.5065218045125
58,middle40,0.0707,157.8828,0.09313790523648953,14.88308528,159.79622090715768
58,top10,0.0896,417.4794,0.11764571575729083,49.87487232,423.9412544600811
59,bottom50,0.0441,119.6969,0.058363504929919395,7.038177719999999,120.59210166440769
59,middle40,0.0732,164.7915,0.09638929605087766,16.0836504,166.86137422884053
59,top10,0.0942,424.166,0.1235850945462938,53.275249599999995,431.08151347526456
60,bottom50,0.042,113.614,0.05560427583459591,6.3623840000000005,114.4225674105704
60,middle40,0.0725,160.8385,0.09547920095275626,15.547721666666666,162.83883308114173
60,top10,0.0919,420.6898,0.12061665873827089,51.54852349333333,427.3748256050581
61,bottom50,0.042,112.0609,0.05560427583459591,6.2754104,112.85841431812266
61,middle40,0.0739,164.4774,0.09729916205015314,16.206506479999998,166.5636798767733
61,top10,0.0953,421.864,0.12500389372039386,53.60485226666666,428.8254603218112
62,bottom50,0.0421,115.395,0.05573571345377419,6.477505999999999,116.21823062105916
62,middle40,0.0728,160.5055,0.09586926975461627,15.579733866666666,162.51019650555412
62,top10,0.0955,424.0162,0.12526179545306138,53.99139613333333,431.0284387833577
63,bottom50,0.0423,109.745,0.05599857497061685,6.189617999999999,110.53170555228894
63,middle40,0.0746,161.7829,0.09820879883515311,16.092005786666668,163.85503109225132
