year,model_age,observed_target_mass,actual_after_bridge_mass,source
2007,18.0,0.016622662021820136,0.016622662021820136,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,22.0,0.04529676719571187,0.04529676719571187,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,26.0,0.0635969478209919,0.0635969478209919,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,30.0,0.06696559869635488,0.06696559869635488,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,34.0,0.0788451476861594,0.0788451476861594,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,38.0,0.08072893564675303,0.08072893564675303,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,42.0,0.0896829554861331,0.0896829554861331,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,46.0,0.09115500500154608,0.09115500500154608,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,50.0,0.08684345526254425,0.08684345526254425,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,54.0,0.0781247054407291,0.0781247054407291,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,58.0,0.07104778040230728,0.07104778040230728,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,62.0,0.05661696446968079,0.05661696446968079,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,66.0,0.04505232136554895,0.04505232136554895,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,70.0,0.03889108604181328,0.03889108604181328,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,74.0,0.03548381308904322,0.03548381308904322,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,78.0,0.03128817505209708,0.03128817505209708,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2007,82.0,0.023757679320773252,0.023757679320773252,preflight.initial_bridge.age_reweight.reweighted_initial_age_mass
2011,18.0,0.014657928626055769,0.014657928626055765,transition_path.historical_bridge_audit.groups
2011,22.0,0.041344960635082896,0.04134496063508289,transition_path.historical_bridge_audit.groups
2011,26.0,0.06120234802615803,0.061202348026158114,transition_path.historical_bridge_audit.groups
2011,30.0,0.07031966961099588,0.07031966961099602,transition_path.historical_bridge_audit.groups
2011,34.0,0.07175728257680927,0.07175728257680929,transition_path.historical_bridge_audit.groups
2011,38.0,0.08005868898083239,0.0800586889808323,transition_path.historical_bridge_audit.groups
2011,42.0,0.08096598004711478,0.08096598004711483,transition_path.historical_bridge_audit.groups
2011,46.0,0.08846233054004193,0.08846233054004182,transition_path.historical_bridge_audit.groups
2011,50.0,0.09159218889089472,0.09159218889089459,transition_path.historical_bridge_audit.groups
2011,54.0,0.08716677923891648,0.08716677923891644,transition_path.historical_bridge_audit.groups
2011,58.0,0.07859687693173709,0.07859687693173699,transition_path.historical_bridge_audit.groups
2011,62.0,0.07182458799978696,0.07182458799978697,transition_path.historical_bridge_audit.groups
2011,66.0,0.055266121803358714,0.05526612180335871,transition_path.historical_bridge_audit.groups
2011,70.0,0.044597284354253,0.044597284354252975,transition_path.historical_bridge_audit.groups
2011,74.0,0.03620940802925446,0.03620940802925444,transition_path.historical_bridge_audit.groups
2011,78.0,0.030875476226271056,0.030875476226271063,transition_path.historical_bridge_audit.groups
2011,82.0,0.02471126046257434,0.024711260462574318,transition_path.historical_bridge_audit.groups
2015,18.0,0.01321820844832791,0.013218208448327906,transition_path.historical_bridge_audit.groups
2015,22.0,0.041118584122452624,0.04111858412245264,transition_path.historical_bridge_audit.groups
2015,26.0,0.06090989552550015,0.060909895525500135,transition_path.historical_bridge_audit.groups
2015,30.0,0.07263176030201444,0.07263176030201444,transition_path.historical_bridge_audit.groups
2015,34.0,0.07587591337913761,0.07587591337913752,transition_path.historical_bridge_audit.groups
2015,38.0,0.07473196898050508,0.07473196898050502,transition_path.historical_bridge_audit.groups
2015,42.0,0.08151652078379344,0.08151652078379341,transition_path.historical_bridge_audit.groups
2015,46.0,0.08157800380281612,0.08157800380281614,transition_path.historical_bridge_audit.groups
2015,50.0,0.08986228817884581,0.08986228817884583,transition_path.historical_bridge_audit.groups
2015,54.0,0.09060565520316335,0.0906056552031635,transition_path.historical_bridge_audit.groups
2015,58.0,0.08649200299459142,0.08649200299459156,transition_path.historical_bridge_audit.groups
2015,62.0,0.07819543501328129,0.0781954350132812,transition_path.historical_bridge_audit.groups
2015,66.0,0.06976211327371311,0.06976211327371311,transition_path.historical_bridge_audit.groups
2015,70.0,0.05370836035354267,0.053708360353542754,transition_path.historical_bridge_audit.groups
2015,74.0,0.04098976874855946,0.040989768748559474,transition_path.historical_bridge_audit.groups
2015,78.0,0.032030851686754166,0.03203085168675416,transition_path.historical_bridge_audit.groups
2015,82.0,0.024628582163955543,0.024628582163955547,transition_path.historical_bridge_audit.groups
2019,18.0,0.01326490690325756,0.013264906903257555,transition_path.historical_bridge_audit.groups
2019,22.0,0.040447008654222745,0.040447008654222745,transition_path.historical_bridge_audit.groups
2019,26.0,0.06510089738007514,0.06510089738007516,transition_path.historical_bridge_audit.groups
2019,30.0,0.07409617669954471,0.07409617669954467,transition_path.historical_bridge_audit.groups
2019,34.0,0.07834517066626584,0.07834517066626571,transition_path.historical_bridge_audit.groups
2019,38.0,0.07850247317205858,0.07850247317205863,transition_path.historical_bridge_audit.groups
2019,42.0,0.07519972009672718,0.07519972009672714,transition_path.historical_bridge_audit.groups
2019,46.0,0.08040588514537186,0.08040588514537182,transition_path.historical_bridge_audit.groups
2019,50.0,0.08038966972346594,0.08038966972346598,transition_path.historical_bridge_audit.groups
2019,54.0,0.08676191546196782,0.08676191546196793,transition_path.historical_bridge_audit.groups
2019,58.0,0.08999608966251509,0.08999608966251517,transition_path.historical_bridge_audit.groups
2019,62.0,0.08634760128610301,0.08634760128610304,transition_path.historical_bridge_audit.groups
2019,66.0,0.07477231736359018,0.07477231736359015,transition_path.historical_bridge_audit.groups
2019,70.0,0.06653563016232822,0.06653563016232825,transition_path.historical_bridge_audit.groups
2019,74.0,0.0494172915042014,0.0494172915042014,transition_path.historical_bridge_audit.groups
2019,78.0,0.03624539729406063,0.0362453972940606,transition_path.historical_bridge_audit.groups
2019,82.0,0.02555500683910571,0.02555500683910571,transition_path.historical_bridge_audit.groups
2023,18.0,0.014337122049139318,0.014337122049139317,transition_path.historical_bridge_audit.groups
2023,22.0,0.04474122812786923,0.04474122812786922,transition_path.historical_bridge_audit.groups
2023,26.0,0.06510271539527213,0.06510271539527228,transition_path.historical_bridge_audit.groups
2023,30.0,0.0778116801905135,0.07781168019051338,transition_path.historical_bridge_audit.groups
2023,34.0,0.08156435185026445,0.08156435185026442,transition_path.historical_bridge_audit.groups
2023,38.0,0.08281187458056544,0.0828118745805654,transition_path.historical_bridge_audit.groups
2023,42.0,0.081479830073785,0.08147983007378491,transition_path.historical_bridge_audit.groups
2023,46.0,0.07516298442006654,0.07516298442006654,transition_path.historical_bridge_audit.groups
2023,50.0,0.08066019718385677,0.08066019718385678,transition_path.historical_bridge_audit.groups
2023,54.0,0.0785864028969238,0.07858640289692385,transition_path.historical_bridge_audit.groups
2023,58.0,0.08646102535793171,0.08646102535793167,transition_path.historical_bridge_audit.groups
2023,62.0,0.08806977795656404,0.08806977795656391,transition_path.historical_bridge_audit.groups
2023,66.0,0.08000900833913732,0.0800090083391373,transition_path.historical_bridge_audit.groups
2023,70.0,0.06962757948607613,0.06962757948607617,transition_path.historical_bridge_audit.groups
2023,74.0,0.05717549494547977,0.05717549494547983,transition_path.historical_bridge_audit.groups
2023,78.0,0.03952768832538106,0.03952768832538107,transition_path.historical_bridge_audit.groups
2023,82.0,0.026118710068945505,0.026118710068945505,transition_path.historical_bridge_audit.groups
