lag_years,empirical_autocovariance,bootstrap_se,n_pairs,nested_no_fixed_fitted,gap
0,1.04478596351344,0.0197246879122043,89936,1.03726902281802,0.007516940695420082
1,0.658095546922665,0.0188282711213667,40297,0.672252178248767,-0.01415663132610201
2,0.67333459952343,0.0166941987043431,68140,0.652288527281693,0.021046072241737046
4,0.605245023307276,0.017312345301408,54352,0.61412218141248,-0.008877158105203953
6,0.568974269067715,0.0175241062778622,43285,0.578189003682954,-0.009214734615239029
8,0.529443888389117,0.0187131901240642,34138,0.54435832819292,-0.014914439803802915
10,0.505994646467424,0.0188078517519994,26459,0.512507134493134,-0.006512488025710028
12,0.483671626012923,0.0195343805342152,19941,0.4825196002389,0.0011520257740230133
16,0.469567460506246,0.0232056333134009,11849,0.427705708825299,0.04186175168094697
20,0.444762002136664,0.0243462458315783,7006,0.379118637400802,0.06564336473586202
24,0.40435110835515,0.0337406090338799,3599,0.336051023539995,0.06830008481515498
28,0.369371513151997,0.0399182105466641,1499,0.297875860697634,0.07149565245436301
32,0.367962536429454,0.123967921778476,350,0.264037369836478,0.10392516659297596
