scenario,period,years_from_start,parity_state,child_state,child_state_label,household_mass,household_share,child_units
task_001,4,16.0,0,0,no_children_at_home,0.28558411524590643,0.2528976791515983,0.0
task_001,4,16.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,1,0,no_children_at_home,0.12863546364781284,0.11391253391355409,0.0
task_001,4,16.0,1,1,active_child_stage_1,0.09426300676174229,0.0834741652888124,0.09426300676174229
task_001,4,16.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,2,0,no_children_at_home,0.17259833231544508,0.1528436468899089,0.0
task_001,4,16.0,2,1,active_child_stage_1,0.11180177561372717,0.09900554011343825,0.11180177561372717
task_001,4,16.0,2,2,active_child_stage_2,0.04613483267998255,0.04085448556117527,0.0922696653599651
task_001,4,16.0,2,3,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,3,0,no_children_at_home,0.14410400772566398,0.12761063086048793,0.0
task_001,4,16.0,3,1,active_child_stage_1,0.09363365177039962,0.08291684291625681,0.09363365177039962
task_001,4,16.0,3,2,active_child_stage_2,0.04214964516427404,0.03732542137341823,0.08429929032854808
task_001,4,16.0,3,3,active_child_stage_3,0.010342840322810217,0.009159053931350492,0.031028520968430652
