candidate,period,calendar_year,age_index,age_cell_start,age_cell_midpoint,age,age_mass,birth_flow_first,birth_flow_second,birth_flow_third_bin_entry,birth_flow_explicit,birth_flow_topcode_adjusted,childless_at_risk_mass,first_birth_hazard,first_birth_rate_all_households,age_specific_birth_rate_explicit,age_specific_birth_rate_topcode_adjusted
task_001,0,2007.0,0,18.0,20.0,20.0,0.016622662021820053,0.0045806753732698605,0.0,0.0,0.0045806753732698605,0.0045806753732698605,0.016622662021820046,0.2755680989757809,0.2755680989757808,0.2755680989757808,0.2755680989757808
task_001,0,2007.0,1,22.0,24.0,24.0,0.04529676719571161,0.009749390878986797,0.003647751335061344,0.0,0.013397142214048141,0.013397142214048141,0.03281442316984085,0.29710687975607286,0.21523370170906597,0.2957637607152789,0.2957637607152789
task_001,0,2007.0,2,26.0,28.0,28.0,0.0635969478209916,0.009629745737262703,0.008828777476662681,0.000894483270979712,0.019353006484905094,0.01989180691100915,0.03238345131238867,0.29736625798062266,0.15141836310081833,0.3043071585664556,0.31277926995803745
task_001,0,2007.0,3,30.0,32.0,32.0,0.06696559869635454,0.006355034368744528,0.01095260163961077,0.0028826772966593175,0.020190313305014616,0.021926721135268785,0.02395894093357661,0.26524688158642423,0.09489998585035396,0.3015027670634972,0.32743261558359554
task_001,0,2007.0,4,34.0,36.0,36.0,0.07884514768615904,0.004274902518162475,0.011668723513792927,0.006555462208259903,0.022499088240215306,0.026447832666984583,0.02072680062566345,0.20624999465037497,0.054218967731262405,0.2853579313437564,0.3354402070785568
task_001,0,2007.0,5,38.0,40.0,40.0,0.08072893564675258,0.0025417984000155824,0.00814025835964201,0.009392718744991462,0.020074775504649055,0.02573256813897521,0.016844970966051413,0.150893605286599,0.03148559286273495,0.24866889850363816,0.31875272394985843
task_001,0,2007.0,6,42.0,44.0,44.0,0.08968295548613256,0.0019068795194397122,0.004569222156977551,0.009070409273526366,0.01554651094994363,0.021010157437330045,0.015889603625684482,0.12000799795643542,0.021262451812647586,0.17334967236162893,0.2342714657812408
task_001,0,2007.0,7,46.0,48.0,48.0,0.09115500500154548,0.0,0.0,0.0,0.0,0.0,0.014212235523806677,0.0,0.0,0.0,0.0
task_001,0,2007.0,8,50.0,52.0,52.0,0.08684345526254379,0.0,0.0,0.0,0.0,0.0,0.013540009568004724,0.0,0.0,0.0,0.0
task_001,0,2007.0,9,54.0,56.0,56.0,0.0781247054407287,0.0,0.0,0.0,0.0,0.0,0.012180644539845327,0.0,0.0,0.0,0.0
task_001,0,2007.0,10,58.0,60.0,60.0,0.07104778040230689,0.0,0.0,0.0,0.0,0.0,0.01107726107309307,0.0,0.0,0.0,0.0
task_001,0,2007.0,11,62.0,64.0,64.0,0.0566169644696805,0.0,0.0,0.0,0.0,0.0,0.00882731160699722,0.0,0.0,0.0,0.0
task_001,0,2007.0,12,66.0,68.0,68.0,0.045052321365548695,0.0,0.0,0.0,0.0,0.0,0.007024235280668519,0.0,0.0,0.0,0.0
task_001,0,2007.0,13,70.0,72.0,72.0,0.038891086041813044,0.0,0.0,0.0,0.0,0.0,0.006063619596021611,0.0,0.0,0.0,0.0
task_001,0,2007.0,14,74.0,76.0,76.0,0.035483813089043005,0.0,0.0,0.0,0.0,0.0,0.005532382000259973,0.0,0.0,0.0,0.0
task_001,0,2007.0,15,78.0,80.0,80.0,0.03128817505209694,0.0,0.0,0.0,0.0,0.0,0.00487822816687833,0.0,0.0,0.0,0.0
task_001,0,2007.0,16,82.0,84.0,84.0,0.02375767932077311,0.0,0.0,0.0,0.0,0.0,0.0037041272061816895,0.0,0.0,0.0,0.0
task_001,1,2011.0,0,18.0,20.0,20.0,0.01465792862605568,0.003559332931735161,0.0,0.0,0.003559332931735161,0.003559332931735161,0.014657928626055677,0.24282646085533213,0.24282646085533208,0.24282646085533208,0.24282646085533208
task_001,1,2011.0,1,22.0,24.0,24.0,0.04134496063508262,0.007678334033686462,0.003143658322584368,0.0,0.01082199235627083,0.01082199235627083,0.029951608430644417,0.2563579866325483,0.18571390359895837,0.26174876430014055,0.26174876430014055
task_001,1,2011.0,2,26.0,28.0,28.0,0.06120234802615759,0.007822536566511402,0.007981670114972127,0.0008144969236521293,0.01661870360513566,0.017109323501294866,0.031164125408778776,0.251010944921555,0.12781432116245095,0.2715370266191896,0.2795533840300118
task_001,1,2011.0,3,30.0,32.0,32.0,0.07031966961099546,0.005556581985336664,0.010737498309666377,0.0028515525536513403,0.019145632848654382,0.02086329239670009,0.025158959876068088,0.22085897082821146,0.07901888640938402,0.2722656826257428,0.29669212770928355
task_001,1,2011.0,4,34.0,36.0,36.0,0.07175728257680879,0.0032812683892952848,0.009880675828347868,0.0055991908010083495,0.018761135018651502,0.022133860353265,0.018863543706317376,0.1739476124094537,0.04572732232136891,0.2614526964363462,0.30845455065237426
task_001,1,2011.0,5,38.0,40.0,40.0,0.08005868898083177,0.002217145524767953,0.007554885268510266,0.008754203097069624,0.01852623389034784,0.023799410608048098,0.016705116705158753,0.13272254027912717,0.02769400239989938,0.23140815976618762,0.2972745483472297
task_001,1,2011.0,6,42.0,44.0,44.0,0.08096598004711429,0.0015957410586292188,0.003935056452968517,0.007816790069144148,0.013347587580741883,0.018056104728757245,0.01434517097635854,0.11123890131801628,0.01970878457471463,0.1648542705587568,0.2230085366502123
task_001,1,2011.0,7,46.0,48.0,48.0,0.08846233054004124,0.0,0.0,0.0,0.0,0.0,0.013792413006818292,0.0,0.0,0.0,0.0
task_001,1,2011.0,8,50.0,52.0,52.0,0.09159218889089413,0.0,0.0,0.0,0.0,0.0,0.014280398104704307,0.0,0.0,0.0,0.0
