case_id,label,candidate,moment,target,model,gap,weight,loss_contribution,standardized_gap
1,anchor_1,task_001,tfr,1.918,1.9020446122921988,-0.01595538770780114,1425.7389910084596,0.36295664378170633,-0.6024588316073608
1,anchor_1,task_001,childless_rate,0.188,0.21418769594037934,0.02618769594037934,17180.743822072007,11.782475402447051,3.432561055895008
1,anchor_1,task_001,mean_age_first_birth,26.0446272574833,25.607380709638164,-0.4372465478451346,44.44444444444444,8.497090826777226,-2.914976985634231
1,anchor_1,task_001,share_first_births_age30plus,0.260327401666964,0.1936503389171681,-0.0666770627497959,10000.0,44.4583069694022,-6.66770627497959
1,anchor_1,task_001,housing_increment_0to1,0.7202462623815278,0.3326869592844357,-0.3875593030970921,137.5652749002964,20.66260877935686,-4.5456142356514215
1,anchor_1,task_001,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.3244155764856558,-0.04328398232434422,2958.514988007638,5.54278707791864,-2.354312442714144
1,anchor_1,task_001,own_family_gap,0.16766167,0.004833691399371398,-0.16282797860062861,14229.590955975675,377.2684422898067,-19.423399349490982
1,anchor_1,task_001,own_rate,0.575472,0.4985203140604886,-0.0769516859395114,1207.8460856134493,7.152335444893432,-2.674385059203972
1,anchor_1,task_001,aggregate_mean_occupied_rooms_18_85,5.779970481941968,5.619083885877042,-0.16088659606492595,11.973159013172177,0.30991919608282836,-0.556703867494046
1,anchor_1,task_001,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,6.973012219647684,0.09991221964768382,6.287669427540395,0.06276635595683124,0.2505321455558772
1,anchor_1,task_001,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008045268500127878,-0.0007547314998721227,5165289.256198346,2.942250190595164,-1.7152988633457331
1,anchor_1,task_001,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.1171367433406427,-0.33097401110487734,56.95977216091135,6.239589663330805,-2.4979170649424702
2,anchor_2,task_001,tfr,1.918,1.9020446122921988,-0.01595538770780114,1425.7389910084596,0.36295664378170633,-0.6024588316073608
2,anchor_2,task_001,childless_rate,0.188,0.21418769594037934,0.02618769594037934,17180.743822072007,11.782475402447051,3.432561055895008
2,anchor_2,task_001,mean_age_first_birth,26.0446272574833,25.607380709638164,-0.4372465478451346,44.44444444444444,8.497090826777226,-2.914976985634231
2,anchor_2,task_001,share_first_births_age30plus,0.260327401666964,0.1936503389171681,-0.0666770627497959,10000.0,44.4583069694022,-6.66770627497959
2,anchor_2,task_001,housing_increment_0to1,0.7202462623815278,0.3326869592844357,-0.3875593030970921,137.5652749002964,20.66260877935686,-4.5456142356514215
2,anchor_2,task_001,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.3244155764856558,-0.04328398232434422,2958.514988007638,5.54278707791864,-2.354312442714144
2,anchor_2,task_001,own_family_gap,0.16766167,0.004833691399371398,-0.16282797860062861,14229.590955975675,377.2684422898067,-19.423399349490982
2,anchor_2,task_001,own_rate,0.575472,0.4985203140604886,-0.0769516859395114,1207.8460856134493,7.152335444893432,-2.674385059203972
2,anchor_2,task_001,aggregate_mean_occupied_rooms_18_85,5.779970481941968,5.619083885877042,-0.16088659606492595,11.973159013172177,0.30991919608282836,-0.556703867494046
2,anchor_2,task_001,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,6.973012219647684,0.09991221964768382,6.287669427540395,0.06276635595683124,0.2505321455558772
2,anchor_2,task_001,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008045268500127878,-0.0007547314998721227,5165289.256198346,2.942250190595164,-1.7152988633457331
2,anchor_2,task_001,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.1171367433406427,-0.33097401110487734,56.95977216091135,6.239589663330805,-2.4979170649424702
