outcome,label,baseline,equal-rebate-1pct,equal-rebate-2pct
period_fertility,Period fertility,1.7297879296249563,1.8011384614494008,1.8080297872833306
ownership_percent,Homeownership (%),66.31140301197044,66.1250782050886,66.80030677871635
rooms_per_household,Rooms per household,6.733716132274823,6.62557998364519,6.297678770237651
asset_price,House price per room,0.633081064382963,0.7072271702510711,0.6594162968467806
rent_per_room,Period rent per room,0.10490879340226049,0.11719565355291266,0.13564949534362178
rebate_per_head_period,Period rebate per household,0.0,0.18743153352000683,0.33222362475612544
pension_period,Period pension benefit,1.5628844886427344,1.5658114767357878,1.5660282067725642
property_tax_revenue,Property-tax revenue (model scale),0.158880691662041,0.19031498720448525,0.33958620851380955
rebate_outlays,Equal-rebate outlays (model scale),0.0,0.19031491226484487,0.3395864780416484
with_children_percent,Households with dependents (%),31.598404103469424,32.70424716841174,32.816682962134266
births_per_household,Births per household per period,0.08339363268772361,0.0865792269490562,0.08681457278851569
births,Total period births (model scale),0.07770158802796998,0.08791113038089134,0.08873858696106712
household_heads,Households (model scale),0.9317448529785468,1.015383637377807,1.0221623410765197
resident_persons,Persons (model scale),2.3252670703950966,2.549353012965311,2.5675145897812803
housing_demand,Total rooms (model scale),6.2741053476656745,6.727505503531244,6.437250075134015
