age,m,cell_mass,renter_share,renter_at_cap_share,owner_only_share,binds_share,median_renter_b,median_renter_b_over_dp8,attempt_prob_n0,n0_share,firstbirths_from_cap_share
18.0,0,0.048443813325094384,0.978441512423868,0.08953470009299504,0.8564840053601924,0.06512844644609576,0.0,0.0,0.18573399403862362,1.0,0.21597503193423945
18.0,1,0.013289642855728936,0.901002985523265,0.6673767329832965,0.9500852954033246,0.16207551381234026,0.1627906976744189,0.12868728256060633,,0.0,0.21597503193423945
18.0,2,0.0,,,,,,,,,0.21597503193423945
18.0,3+,0.0,,,,,,,,,0.21597503193423945
22.0,0,0.03911462879294305,0.9498702225630016,0.03772928500403124,0.8516976800308573,0.06610517932915473,0.1627906976744189,0.12868728256060633,0.20039769021885917,0.944864153436041,0.07762594184585338
22.0,1,0.019242471069748954,0.7711756480975708,0.5900793449492842,0.9638956643549708,0.07840254760547379,0.3023255813953485,0.23899066761255391,,0.0,0.07762594184585338
22.0,2,0.0033763563181212815,0.6899442577178295,0.6664915174811449,0.9712630352837672,0.12834866989793894,0.1627906976744189,0.12868728256060633,,0.0,0.07762594184585338
22.0,3+,0.0,,,,,,,,,0.07762594184585338
26.0,0,0.0323738566205951,0.9376407258693503,0.030431582590179217,0.8085452133991358,0.044125100895885734,0.0,0.0,0.207427835478495,0.858667244515837,0.04951693493598978
26.0,1,0.021647963087151237,0.7356611391439843,0.7142660904231556,0.9504220280333634,0.06790755514924281,0.1627906976744189,0.12868728256060633,,0.0,0.04951693493598978
26.0,2,0.007282683663197529,0.6416029677612618,0.7881175802650751,0.9650120444963766,0.09961733968051142,0.0,0.0,,0.0,0.04951693493598978
26.0,3+,0.0004289528098601786,0.5845014570719573,0.8355947549275751,0.9747419343974263,0.11066600870713507,0.0,0.0,,0.0,0.04951693493598978
30.0,0,0.028149599247802273,0.9110771742410482,0.023533496678820147,0.7659464664360833,0.03724850406956482,0.1627906976744189,0.12868728256060633,0.18599131622338377,0.7692359105727113,0.029783112196545166
30.0,1,0.02179371546051687,0.6440127689130026,0.6988857189039203,0.93812356300481,0.04249625102571877,0.3023255813953485,0.23899066761255391,,0.0,0.029783112196545166
30.0,2,0.010573626406346159,0.5437699912771928,0.7609719225534447,0.9583052530859826,0.049498216180388056,0.3023255813953485,0.23899066761255391,,0.0,0.029783112196545166
30.0,3+,0.0012165150661303614,0.473289268319563,0.7991787556579144,0.9713278972405217,0.052311485005893055,0.1627906976744189,0.12868728256060633,,0.0,0.029783112196545166
34.0,0,0.025861224690420292,0.8707660063455402,0.02386152363082719,0.7213411603752593,0.05925471253669901,0.1627906976744189,0.12868728256060633,0.156502422614581,0.6970033714778647,0.03415142439541598
34.0,1,0.021180002213487516,0.5649983843020832,0.6812827657877022,0.9216717480374881,0.031207336886150853,0.44186046511627897,0.3492940526645022,,0.0,0.03415142439541598
34.0,2,0.012570378626921785,0.4789569235926847,0.7329844649310064,0.9466931132291672,0.04021575477790637,0.3023255813953485,0.23899066761255391,,0.0,0.03415142439541598
34.0,3+,0.002121850649957726,0.4227343635671395,0.7630176752257011,0.9621924786388216,0.058148789226644855,0.3023255813953485,0.23899066761255391,,0.0,0.03415142439541598
38.0,0,0.025186216146895708,0.8071234438774332,0.023443908870628905,0.6493617956576025,0.06293211876190123,0.44186046511627897,0.3492940526645022,0.1325186138311822,0.6351105744683414,0.03720284533391523
38.0,1,0.02080033494980526,0.48501108830525735,0.6586295883331397,0.9043883798660495,0.014060081253135313,0.5813953488372094,0.4595974377164505,,0.0,0.03720284533391523
38.0,2,0.013046071183809228,0.4070011513013849,0.694071852098031,0.935259961291588,0.0163290775313651,0.5813953488372094,0.4595974377164505,,0.0,0.03720284533391523
38.0,3+,0.0027008339002653164,0.3678423161527329,0.7244389359345824,0.9512243989577897,0.03877316621382666,0.44186046511627897,0.3492940526645022,,0.0,0.03720284533391523
42.0,0,0.02615699730976743,0.6961800672996662,0.022009636371481983,0.5341421171208224,0.10435835354448132,0.5813953488372094,0.4595974377164505,0.14249592358404217,0.5632360870340978,0.023922181556494105
42.0,1,0.021216070064539856,0.4260431289425649,0.6355723175317362,0.8882906705829482,0.010362879727653169,0.8604651162790695,0.6802042078203464,,0.0,0.023922181556494105
42.0,2,0.011960052267099248,0.3580344017189047,0.6737611254733181,0.923951792602781,0.00849227239689861,0.720930232558139,0.569900822768398,,0.0,0.023922181556494105
42.0,3+,0.002400336539359046,0.3405219970986396,0.6811545435259598,0.9383840028321915,0.06713414545706117,0.5813953488372094,0.4595974377164505,,0.0,0.023922181556494105
