age,m,cell_mass,renter_share,renter_at_cap_share,owner_only_share,binds_share,median_renter_b,median_renter_b_over_dp8,attempt_prob_n0,n0_share,firstbirths_from_cap_share
18.0,0,0.04880421200288775,0.9438249429252648,0.05429609621800648,0.8088299185084318,0.007985034399914565,0.0,,0.17863107439100276,1.0,0.1300609622416427
18.0,1,0.012929244177935189,0.7251078688958366,0.47298226857403175,0.9216294528855142,0.00575193949225642,0.0,,,0.0,0.1300609622416427
18.0,2,0.0,,,,,,,,,0.1300609622416427
18.0,3+,0.0,,,,,,,,,0.1300609622416427
22.0,0,0.03971915067484644,0.9221949053681086,0.02229778894089427,0.693063589693262,0.01576510534048495,0.1627906976744189,,0.1926465826994254,0.9472835998027332,0.0488400260291946
22.0,1,0.0187213857204017,0.6830368105234851,0.47672343092043445,0.8743818940556711,0.004286379014290086,0.3023255813953485,,,0.0,0.0488400260291946
22.0,2,0.0032929197855657427,0.5456924135218101,0.551525684253504,0.8752825087698975,0.007735302123653652,0.1627906976744189,,,0.0,0.0488400260291946
22.0,3+,0.0,,,,,,,,,0.0488400260291946
26.0,0,0.0330535247342037,0.8940810379524354,0.012056087100710256,0.5617066921765238,0.01157942765779345,0.0,,0.20078872277140458,0.8652306624578044,0.019974717517240448
26.0,1,0.021178996805557834,0.6475510675785485,0.4773424971221788,0.824925573273025,0.00961662337082938,0.1627906976744189,,,0.0,0.019974717517240448
26.0,2,0.007081162217398807,0.5037568893628213,0.5359019753871078,0.8361533493623657,0.0055528764517498025,0.1627906976744189,,,0.0,0.019974717517240448
26.0,3+,0.00041977242363988517,0.40576130307691394,0.6220319034493043,0.8552412903230493,0.004365377388952226,0.0,,,0.0,0.019974717517240448
30.0,0,0.02880995245682574,0.8548077395234424,0.00878572003267263,0.49010967117974,0.00944361570209634,0.1627906976744189,,0.18203015416194446,0.7791036673521619,0.014147225489233192
30.0,1,0.021442960180986667,0.5882028931950102,0.5767115884584728,0.7880348452720626,0.007126743617994716,0.44186046511627897,,,0.0,0.014147225489233192
30.0,2,0.010296601549396127,0.45634858210923174,0.6494153802698358,0.8079960729230062,0.00929671650195368,0.3023255813953485,,,0.0,0.014147225489233192
30.0,3+,0.0011839419935807418,0.3628264889713142,0.6971180480444586,0.8339816186530724,0.007228868928863392,0.1627906976744189,,,0.0,0.014147225489233192
34.0,0,0.026474219026645023,0.8037732524378055,0.012681958091883916,0.44334494663662405,0.006579334281457858,0.1627906976744189,,0.15487239461041474,0.7080852353371498,0.020969428874990835
34.0,1,0.020914769859760818,0.5199043530049656,0.5881580665435752,0.7589528867213549,0.006777767091151161,0.44186046511627897,,,0.0,0.020969428874990835
34.0,2,0.012282260208367098,0.4042057263812131,0.6212980039375624,0.7815347112860943,0.006776212613069228,0.3023255813953485,,,0.0,0.020969428874990835
34.0,3+,0.002062207086004347,0.3240790280618233,0.6498537901564299,0.8075030459261872,0.004199223870107887,0.1627906976744189,,,0.0,0.020969428874990835
38.0,0,0.02575339906107707,0.7281509409510413,0.015140565266623704,0.4028141551515035,0.01787970514093411,0.3023255813953485,,0.13152597422038784,0.6466032534091234,0.02474635256309448
38.0,1,0.020562312978898482,0.4503956077518222,0.5792939862822548,0.7363925963717114,0.0056169434792433404,0.5813953488372094,,,0.0,0.02474635256309448
38.0,2,0.012785769471873338,0.346370503609727,0.5773539860686172,0.757457588480402,0.00458390467835128,0.44186046511627897,,,0.0,0.02474635256309448
