stage,cell,case_id,case_directory,status,loss,task_id,proposal_index,started_solves,completed_solves,unfinished_solves,score_path,checkpoint_sha256,validity_exception,smoke_index,common_parameter_anchor,repeat_index
production,B_floor,worker01_proposal01,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal01,verified_scored,949.9073897987362,1,1,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal01/result/evaluation/scored_repetition_01/score.json,529551b034dc4f2ac4069070b8a2f2f1969039707403c28ebe8c889717f7e4f6,,,,
production,B_floor,worker01_proposal02,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal02,verified_scored,748.6442718401382,1,2,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal02/result/evaluation/scored_repetition_01/score.json,0e479d54f8b6d833448bf40d8f71785fb59092fcfd8fe13fb35f605ec85b1262,,,,
production,B_floor,worker01_proposal03,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal03,verified_scored,1087.5723883909795,1,3,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal03/result/evaluation/scored_repetition_01/score.json,9340c20e0b5f7621f08c54a90ce537a1b1b38bb38f618989d2b4606daba4931d,,,,
production,B_floor,worker01_proposal04,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal04,verified_scored,724.9496050721009,1,4,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal04/result/evaluation/scored_repetition_01/score.json,baac97a2772093c60f3605f64326158b60b1bf3f8fa9623b2aafb906fca68137,,,,
production,B_floor,worker01_proposal05,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal05,verified_scored,693.5797402516273,1,5,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal05/result/evaluation/scored_repetition_01/score.json,fc9d02786b6059845e1a5f0b935c3dcdcfceb6d930ed4b10950351a8803abf9e,,,,
production,B_floor,worker01_proposal06,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal06,verified_scored,880.8090522395762,1,6,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal06/result/evaluation/scored_repetition_01/score.json,48fdd6eff9325e07f302b2fd6dd3b09e87bff213219bded8674e6bc9e128da36,,,,
production,B_floor,worker01_proposal07,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal07,verified_scored,955.4458824404826,1,7,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal07/result/evaluation/scored_repetition_01/score.json,45f54ad6493cbadcdd8466bc6484ac6cfc2c873f321763e0754964aa38e74ac4,,,,
production,B_floor,worker01_proposal08,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal08,verified_scored,733.0370607847573,1,8,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal08/result/evaluation/scored_repetition_01/score.json,2653a31d0417dcaf55eb27b55237dd95a3f6181b0f615535d1285b6b9ab087b5,,,,
production,B_floor,worker01_proposal09,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal09,verified_scored,626.5583260639098,1,9,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal09/result/evaluation/scored_repetition_01/score.json,8ba035549b2d2543d76bfa02f4c4b7bbd78fc40d70f79681207b0e6ec5b925c1,,,,
production,B_floor,worker01_proposal10,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal10,verified_scored,610.9730135113623,1,10,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal10/result/evaluation/scored_repetition_01/score.json,f316ea4231afad35fc05c566581c7fa313276dcb3bb73f001dc8363b9fb44f59,,,,
