stage,cell,case_id,estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper,actual_lower,actual_upper,near_actual_bound,restriction_type
production,B_floor,worker01_proposal03,2.213271698607705,mapped first-child requirement,0.1,False,h_P,diagnostic candidate; not a certified estimate,True,log,2.3,0.1,2.3,False,searched
production,B_floor,worker01_proposal03,0.0,,,False,hbar_child_rooms,zero restriction,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal03,0.18980241964299563,,,False,psi_child,normalized to 2.1,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal03,0.179,,,False,payroll_tax,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal03,2.0463613896121235,,,False,pension_period,budget derived,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal03,0.63,,,False,housing_supply_elasticity,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal03,0.005,,,False,tenure_choice_kappa,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal03,0.733,,,False,alpha_cons,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal03,2.0,,,False,sigma,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal04,0.9856265637607668,structural coordinate,0.94,False,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.9995,0.94,0.99,False,searched
production,B_floor,worker01_proposal04,0.27021962154710694,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
production,B_floor,worker01_proposal04,0.4735802306148219,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
production,B_floor,worker01_proposal04,0.9482684310729441,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0,0.1,5.0,False,searched
production,B_floor,worker01_proposal04,8.42926786737399,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0,0.2,80.0,False,searched
production,B_floor,worker01_proposal04,0.05293949593568643,structural coordinate,0.0,True,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,True,searched
production,B_floor,worker01_proposal04,0.09093483991689678,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0,0.02,16.0,True,searched
production,B_floor,worker01_proposal04,0.32832760012751955,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,False,searched
production,B_floor,worker01_proposal04,2.169226169418903,mapped first-child requirement,0.1,False,h_P,diagnostic candidate; not a certified estimate,True,log,2.3,0.1,2.3,False,searched
production,B_floor,worker01_proposal04,0.0,,,False,hbar_child_rooms,zero restriction,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal04,0.1677819061839518,,,False,psi_child,normalized to 2.1,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal04,0.179,,,False,payroll_tax,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal04,2.0463613896121235,,,False,pension_period,budget derived,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal04,0.63,,,False,housing_supply_elasticity,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal04,0.005,,,False,tenure_choice_kappa,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal04,0.733,,,False,alpha_cons,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal04,2.0,,,False,sigma,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal05,0.9856265637607668,structural coordinate,0.94,False,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.9995,0.94,0.99,False,searched
production,B_floor,worker01_proposal05,0.27021962154710694,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
production,B_floor,worker01_proposal05,0.4735802306148219,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
production,B_floor,worker01_proposal05,0.9482684310729441,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0,0.1,5.0,False,searched
production,B_floor,worker01_proposal05,8.67926786737399,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0,0.2,80.0,False,searched
production,B_floor,worker01_proposal05,0.05293949593568643,structural coordinate,0.0,True,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,True,searched
production,B_floor,worker01_proposal05,0.09093483991689678,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0,0.02,16.0,True,searched
production,B_floor,worker01_proposal05,0.32832760012751955,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,False,searched
production,B_floor,worker01_proposal05,2.169226169418903,mapped first-child requirement,0.1,False,h_P,diagnostic candidate; not a certified estimate,True,log,2.3,0.1,2.3,False,searched
production,B_floor,worker01_proposal05,0.0,,,False,hbar_child_rooms,zero restriction,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal05,0.16376501595527765,,,False,psi_child,normalized to 2.1,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal05,0.179,,,False,payroll_tax,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal05,2.0463613896121235,,,False,pension_period,budget derived,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal05,0.63,,,False,housing_supply_elasticity,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal05,0.005,,,False,tenure_choice_kappa,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal05,0.733,,,False,alpha_cons,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal05,2.0,,,False,sigma,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal06,0.9829102827399754,structural coordinate,0.94,False,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.9995,0.94,0.99,False,searched
production,B_floor,worker01_proposal06,0.2747195870568057,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
production,B_floor,worker01_proposal06,0.4487688492033631,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
production,B_floor,worker01_proposal06,0.9662136111425461,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0,0.1,5.0,False,searched
production,B_floor,worker01_proposal06,7.521298391830267,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0,0.2,80.0,False,searched
production,B_floor,worker01_proposal06,0.02178572117513745,structural coordinate,0.0,True,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,True,searched
production,B_floor,worker01_proposal06,0.0905501254174023,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0,0.02,16.0,True,searched
production,B_floor,worker01_proposal06,0.3690193943637021,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,False,searched
production,B_floor,worker01_proposal06,1.9801445005859284,mapped first-child requirement,0.1,False,h_P,diagnostic candidate; not a certified estimate,True,log,2.3,0.1,2.3,False,searched
production,B_floor,worker01_proposal06,0.0,,,False,hbar_child_rooms,zero restriction,False,,,,,,externally_fixed_or_derived
