cell,estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper,actual_lower,actual_upper,near_actual_bound,restriction_type
B_shares,0.0,,,False,hbar_child_rooms,zero restriction,False,,,,,,externally_fixed_or_derived
B_shares,0.04491952765101177,,,False,psi_child,normalized to 2.1,False,,,,,,externally_fixed_or_derived
B_shares,0.179,,,False,payroll_tax,externally fixed,False,,,,,,externally_fixed_or_derived
B_shares,2.0463613896121235,,,False,pension_period,budget derived,False,,,,,,externally_fixed_or_derived
B_shares,0.63,,,False,housing_supply_elasticity,externally fixed,False,,,,,,externally_fixed_or_derived
B_shares,0.005,,,False,tenure_choice_kappa,externally fixed,False,,,,,,externally_fixed_or_derived
B_shares,0.733,,,False,alpha_cons,externally fixed,False,,,,,,externally_fixed_or_derived
B_shares,2.0,,,False,sigma,externally fixed,False,,,,,,externally_fixed_or_derived
D_floor,0.9824066125504731,structural coordinate,0.94,False,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.9995,0.94,0.99,False,searched
D_floor,0.2284234720667638,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
D_floor,0.4853082171721909,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
D_floor,0.956065186900775,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0,0.1,5.0,False,searched
D_floor,8.749016538842872,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0,0.2,80.0,False,searched
D_floor,0.03335518125799189,structural coordinate,0.0,True,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,True,searched
D_floor,0.09156279299609446,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0,0.02,16.0,True,searched
D_floor,0.3344582700811967,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,False,searched
D_floor,2.149261308379245,mapped first-child requirement,0.1,False,h_P,diagnostic candidate; not a certified estimate,True,log,2.3,0.1,2.3,False,searched
D_floor,0.0,,,False,hbar_child_rooms,zero restriction,False,,,,,,externally_fixed_or_derived
D_floor,0.13706916720706708,,,False,psi_child,normalized to 2.1,False,,,,,,externally_fixed_or_derived
D_floor,0.179,,,False,payroll_tax,externally fixed,False,,,,,,externally_fixed_or_derived
D_floor,2.0463613896121218,,,False,pension_period,budget derived,False,,,,,,externally_fixed_or_derived
D_floor,0.63,,,False,housing_supply_elasticity,externally fixed,False,,,,,,externally_fixed_or_derived
D_floor,0.005,,,False,tenure_choice_kappa,externally fixed,False,,,,,,externally_fixed_or_derived
D_floor,0.733,,,False,alpha_cons,externally fixed,False,,,,,,externally_fixed_or_derived
D_floor,2.0,,,False,sigma,externally fixed,False,,,,,,externally_fixed_or_derived
D_shares,0.9787133267133993,structural coordinate,0.94,False,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.9995,0.94,0.99,False,searched
D_shares,0.28303844150317253,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
D_shares,0.39253568743510703,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
D_shares,0.9886087964902056,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0,0.1,5.0,False,searched
D_shares,7.921782567551065,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0,0.2,80.0,False,searched
D_shares,0.03682414331920435,structural coordinate,0.0,True,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,True,searched
D_shares,0.09101228314076258,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0,0.02,16.0,True,searched
D_shares,0.35073919671308235,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,False,searched
D_shares,0.006051867235065828,structural coordinate,0.0,False,delta_alpha_jump,diagnostic candidate; not a certified estimate,True,softzero,0.25,0.0,0.25,False,searched
D_shares,0.014132339073506951,structural coordinate,0.0,False,delta_alpha,diagnostic candidate; not a certified estimate,True,softzero,0.25,0.0,0.25,False,searched
D_shares,0.0,,,False,hbar_first_child_jump,zero restriction,False,,,,,,externally_fixed_or_derived
D_shares,0.0,,,False,hbar_child_rooms,zero restriction,False,,,,,,externally_fixed_or_derived
D_shares,0.0612465213643787,,,False,psi_child,normalized to 2.1,False,,,,,,externally_fixed_or_derived
D_shares,0.179,,,False,payroll_tax,externally fixed,False,,,,,,externally_fixed_or_derived
D_shares,2.0463613896121218,,,False,pension_period,budget derived,False,,,,,,externally_fixed_or_derived
D_shares,0.63,,,False,housing_supply_elasticity,externally fixed,False,,,,,,externally_fixed_or_derived
D_shares,0.005,,,False,tenure_choice_kappa,externally fixed,False,,,,,,externally_fixed_or_derived
D_shares,0.733,,,False,alpha_cons,externally fixed,False,,,,,,externally_fixed_or_derived
D_shares,2.0,,,False,sigma,externally fixed,False,,,,,,externally_fixed_or_derived
