arm,case,policy,row_order,metric,value,unit
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,1,completed fertility change,0.4887277771298937,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,2,births per household change,0.44066403722990977,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,3,household population change under quota,2.2313926199859724,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,4,required immigration at fixed population (identical to percent of fertility gap closed),2.2631378689308757,percent reduction
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,5,house price change,-17.210473095366996,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,6,rent change,-5.691545589664814,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,7,4.917 times fixed-population dlnB,2.2579457134632914,log-percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,8,realized dln household population,2.206861310794305,log-percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,9,housing-feedback damping,0.051084402668986506,percentage points
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,10,unidentified entry-response sensitivity (lambda=2),9.062228104447033,percent
