key,prime30_55_parent_3plus_minus_1to2_mean_rooms,aggregate_mean_occupied_rooms_18_85
prime30_55_parent_3plus_minus_1to2_mean_rooms,1,0.488442800698676
aggregate_mean_occupied_rooms_18_85,0.488442800698676,1
