key,target,reproduced_point,absolute_difference,reproduction_tolerance,reproduction_pass,n_unweighted,hhwt_sum,n_metro_clusters,bootstrap_B,bootstrap_seed,bootstrap_mean,metro_bootstrap_se,declared_synthetic_se,active_calibration_weight,metro_bootstrap_used_in_active_calibration,formula
prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.367699558813823,3.82277542954057e-12,1e-10,TRUE,918595,105193582,42,1000,20260705,0.367770831439559,0.0690029124215527,0.0183849779405,2958.51498800764,FALSE,HHWT-mean ROOMS for NCHILD>=3 minus HHWT-mean ROOMS for NCHILD in 1:2
aggregate_mean_occupied_rooms_18_85,5.77997048194197,5.77997048194197,0,1e-10,TRUE,3986589,419883313,42,1000,20260705,5.77985495111352,0.113293163354016,0.288998524097098,11.9731590131722,FALSE,sum(HHWT*ROOMS)/sum(HHWT)
