rep,exact_builder_sample__ratio_p90_p50,exact_builder_sample__ratio_p50,exact_builder_sample__ratio_p90,exact_builder_sample__wealth_p90_p50,exact_builder_sample__wealth_p50,exact_builder_sample__wealth_p90,no_children_history_filter__ratio_p90_p50,no_children_history_filter__ratio_p50,no_children_history_filter__ratio_p90,no_children_history_filter__wealth_p90_p50,no_children_history_filter__wealth_p50,no_children_history_filter__wealth_p90
26,3.63692347065269,6.84413703889377,24.8916026331161,5.30430173190468,234502.783874682,1243873.52264294,3.63692347065269,6.84413703889377,24.8916026331161,5.30430173190468,234502.783874682,1243873.52264294
27,3.3168773744873,7.40691570087657,24.5678311029722,4.08695652173913,263754.224334545,1077952.04728032,3.3168773744873,7.40691570087657,24.5678311029722,4.08695652173913,263754.224334545,1077952.04728032
28,3.35908071135431,6.96495688985195,23.395852344116,4.61378952825298,276511.901489858,1275767.71553123,3.35908071135431,6.96495688985195,23.395852344116,4.61378952825298,276511.901489858,1275767.71553123
29,3.57910101264375,7.11012755224798,25.447864722277,4.71603260869565,263754.224334545,1243873.52264294,3.57910101264375,7.11012755224798,25.447864722277,4.71603260869565,263754.224334545,1243873.52264294
30,3.23816241071936,6.9439925859831,22.4857757722444,6.29838226482924,230226.55663932,1450054.8612298,3.23816241071936,6.9439925859831,22.4857757722444,6.29838226482924,230226.55663932,1450054.8612298
31,3.82479182486536,7.40202718569262,28.3112130672683,4.77761341549608,243685.968135178,1164237.35053077,3.82479182486536,7.40202718569262,28.3112130672683,4.77761341549608,243685.968135178,1164237.35053077
32,3.65777552398813,7.80947680797887,28.565313123378,4.89072661332199,300715.334615769,1470716.49003937,3.65777552398813,7.80947680797887,28.565313123378,4.89072661332199,300715.334615769,1470716.49003937
33,3.08151481001444,7.59232188924848,23.395852344116,4.91326452398246,299335.90647533,1470716.49003937,3.08151481001444,7.59232188924848,23.395852344116,4.91326452398246,299335.90647533,1470716.49003937
34,3.73633426346728,7.54958131274561,28.2077593336437,4.96038916691707,278088.693048379,1379428.14043931,3.73633426346728,7.54958131274561,28.2077593336437,4.96038916691707,278088.693048379,1379428.14043931
35,3.69405833333333,7.43899950409728,27.4800981097731,4.88,250853.202492095,1224163.62816142,3.69405833333333,7.43899950409728,27.4800981097731,4.88,250853.202492095,1224163.62816142
