variant,base_ages76_84,child_history_observed,after_child_filter,income_missing_or_nonfinite,income_zero,income_negative,income_le_1000,after_income_cut,wealth_missing_or_nonfinite,final_observations,final_unique_people,final_weight_sum,person_cluster_population
exact_builder_sample,650,650,650,3,0,0,3,644,0,644,416,25192.0370399952,918
no_children_history_filter,650,650,650,3,0,0,3,644,0,644,416,25192.0370399952,918
