target,expected_target,recomputed,gap,status
mean_rooms,5.561097376118652,5.561097376118652,0.0,reproduced
ownership_30_55,0.6483340343191493,0.6483340343191493,0.0,reproduced
family_rooms,0.3470669317962507,0.3470669317962507,0.0,reproduced
recent_parent_ownership,0.16289550916123285,0.16289550916123285,0.0,reproduced
family_rooms_under18_resident_children_candidate,,0.336219623885607,-0.0108473079106437,candidate_only
