group,households,household_weight,mean_rooms_cap9
existing_NCHILD_3plus,70750,7789684.0,6.5584537190468835
existing_NCHILD_1to2,204259,21496722.0,6.211386787250633
under18_children_3plus,55266,6091723.0,6.569984879483194
under18_children_1to2,219743,23194683.0,6.233765255597587
