case,label,present_total_births_kfe,present_attempt_hazard_by_age,present_first_birth_hazard_by_age,present_second_attempt_hazard_by_age,present_second_birth_hazard_by_age,present_mean_age_first_birth,present_share_first_births_age30plus,completed_tfr,completed_childless_rate,completed_childless_chosen_45,completed_childless_clock_45,completed_family_size_shares,completed_progression_1to2,p_eq,own_rate,old_age_own_rate,market_residual,loss_15_target
baseline,Baseline,0.061148569142722035,"[0.12929062578260248, 0.15049724897509079, 0.18030713395082637, 0.2220125209001241, 0.27887857565933544, 0.345784896874594, 0.4052758245885554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.12670481326695043, 0.1453527818147746, 0.16977281192097507, 0.19984316932597387, 0.23128234982162307, 0.24491879725014457, 0.20321982629925692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.18197473703531206, 0.19100062253894026, 0.2070126408734052, 0.2382465367679698, 0.2986689662607303, 0.4019352481361682, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.1757542707805416, 0.17984154068987707, 0.18634112200046551, 0.19758498382417858, 0.21154667151078985, 0.2015447415169788, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",28.184479259056452,0.4840313978625096,1.981051214697486,0.2292162291402862,0.13234463180137224,0.09696328509068688,"[0.2292162291402862, 0.5510419343706844, 0.21974183648902926]",0.2850888217825629,[0.8515432],0.5888894354362075,0.7416600148864619,1.3139886460007669e-05,5.485557807431948
birth_grant_A0p4_Hge6,"Birth grant, family-size homes",0.06145454744899371,"[0.12975877780130965, 0.15149821561490034, 0.1818785959569559, 0.22419957683151417, 0.28165085861149375, 0.3488371448341299, 0.4077297591750455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.12716360224528345, 0.14631953228091893, 0.1712524623250481, 0.20181183391772806, 0.23358148705018103, 0.24708069878464062, 0.20445031706668065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.18217026996724892, 0.19133212964676108, 0.2073388389977718, 0.23859675072594844, 0.29901973680988275, 0.40224522619411973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.17594311978467275, 0.18015367971972762, 0.1866347471831233, 0.19787542674167471, 0.2117951216362456, 0.20170017562696413, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",28.159040262977058,0.48263708631731916,1.9909640992232709,0.225774815000799,0.12983903707179933,0.0964364211104074,"[0.225774815000799, 0.5529683203867665, 0.22125686461243452]",0.2857784384348633,[0.85431723],0.5829384227007377,0.7403634366410299,3.8262791215854744e-07,8.330329073372479
tax2_grant_A0p4_Hge6,Property tax plus birth grant,0.061570556815207074,"[0.13036932879366475, 0.1522505117332815, 0.18246876932830403, 0.22477734907979863, 0.2824956867026813, 0.34986415985064084, 0.4085314298485688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.12776194221779144, 0.14704611256261732, 0.171808155217388, 0.2023319119600728, 0.23428212827248798, 0.2478081316045099, 0.20485230347973157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.1823880615229469, 0.19145479064857873, 0.20748905748431998, 0.23874102532927918, 0.29921599115584696, 0.4024264674087533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.1761534665431156, 0.1802691743356938, 0.18676996540559757, 0.19799507798845484, 0.21193412822329757, 0.201791056468903, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",28.141510860281876,0.4816050139398112,1.9947224964197205,0.22453546647438216,0.1289120417226402,0.0961793960639403,"[0.22453546647438216, 0.5535678188413753, 0.2218967146842425]",0.28614682583507745,[0.69028669],0.6059970499217716,0.757956828947428,8.938489082936693e-06,94.85122390308793
