parameter,estimate,actual_lower,actual_upper,near_actual_bound,restriction_type,status,interpretation,structural_coordinate,transform
beta_annual,0.9762497404726131,0.94,0.99,False,searched,diagnostic candidate; not a certified estimate,structural coordinate,True,discount
kappa_fert,0.2092758576051789,0.02,50.0,True,searched,diagnostic candidate; not a certified estimate,structural coordinate,True,log
kappa_fert_continuation,0.48206876668272913,0.02,50.0,True,searched,diagnostic candidate; not a certified estimate,structural coordinate,True,log
chi,0.8879849680171324,0.1,5.0,False,searched,diagnostic candidate; not a certified estimate,structural coordinate,True,log
H0,8.967215659504557,0.2,80.0,False,searched,diagnostic candidate; not a certified estimate,structural coordinate,True,log
theta0,0.08816920777433607,0.0,8.0,False,searched,diagnostic candidate; not a certified estimate,structural coordinate,True,softzero
theta1,0.0875688104118386,0.02,16.0,True,searched,diagnostic candidate; not a certified estimate,structural coordinate,True,log
first_birth_fixed_cost,0.35326910501721936,0.0,8.0,False,searched,diagnostic candidate; not a certified estimate,structural coordinate,True,softzero
h_P,2.044201723718249,0.1,2.3,False,searched,diagnostic candidate; not a certified estimate,mapped first-child requirement,True,log
hbar_child_rooms,0.0,,,,externally_fixed_or_derived,zero restriction,,False,
psi_child,0.14245465246024056,,,,externally_fixed_or_derived,selected utility scale held fixed; no normalization,,False,
payroll_tax,0.08751017424959717,,,,externally_fixed_or_derived,case rate; fixed within solve,,False,
pension_period,1.0004326356570097,,,,externally_fixed_or_derived,endogenous balanced PAYGO pension,,False,
housing_supply_elasticity,0.63,,,,externally_fixed_or_derived,externally fixed,,False,
tenure_choice_kappa,0.005,,,,externally_fixed_or_derived,externally fixed,,False,
alpha_cons,0.733,,,,externally_fixed_or_derived,externally fixed,,False,
sigma,2.0,,,,externally_fixed_or_derived,externally fixed,,False,
