birth_window,decision_year,data,model,gap
2008-2011,2007,1.974875,1.9244045730762411,-0.050470426923758804
2012-2015,2011,1.861,1.8224815920771895,-0.03851840792281047
2016-2019,2015,1.755375,1.732933264490277,-0.022441735509722838
2020-2023,2019,1.64575,1.6696841563553548,0.023934156355354785
