cell_id,stage,task_id,proposal_index,case_id,case_directory,status,loss,started_solves,completed_solves,unfinished_solves,count_evidence,failure_type,failure_message,normalized_objective_seconds
A,smoke,1,1,A_resolution_smoke,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_resolution_20260922_v1/results/smoke/A/worker_01/proposal_01_resolution_smoke,verified_scored,1163.8345948732365,6,6,0,native heartbeat and per-solve records,,,966.7639670860954
B,smoke,1,1,B_resolution_smoke,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_resolution_20260922_v1/results/smoke/B/worker_01/proposal_01_resolution_smoke,verified_scored,1164.6243097092026,6,6,0,native heartbeat and per-solve records,,,1187.4117127821082
C,smoke,1,1,C_resolution_smoke,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_resolution_20260922_v1/results/smoke/C/worker_01/proposal_01_resolution_smoke,failed_unscored,,5,4,1,native heartbeat and per-solve records,TimeoutExpired,"Command '['/share/apps/anaconda3/2025.06/bin/python', '/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/tools/run_e5f_earnings_wealth_candidate.py', '--mode', 'probe-child', '--plan', '/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_resolution_20260922_v1/C_plan.json', '--contract', '/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_resolution_20260922_v1/results/smoke/C/worker_01/proposal_01_resolution_smoke/result/initial_contract.json', '--output', '/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_resolution_20260922_v1/results/smoke/C/worker_01/proposal_01_resolution_smoke/result/evaluation/raw']' timed out after 3100 seconds",
D,smoke,1,1,D_resolution_smoke,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_resolution_20260922_v1/results/smoke/D/worker_01/proposal_01_resolution_smoke,failed_unscored,,1,0,1,native heartbeat and per-solve records,ValueError,Child failed with exit 1; see /scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_resolution_20260922_v1/results/smoke/D/worker_01/proposal_01_resolution_smoke/result/evaluation/initial_solve.log,
