parameter,estimate,lower_bound,upper_bound,transform,distance_to_nearest_bound,distance_as_share_of_range,near_bound_2pct,near_bound_side,external_restriction,external_restriction_satisfied
beta_annual,0.9933099322887542,0.94,0.9995,discount,0.006190067711245861,0.10403475144951009,False,,>= 0.94,True
delta_alpha,0.016992184818234828,0.0,0.25,softzero,0.016992184818234828,0.06796873927293931,False,,,
delta_alpha_jump,0.021301550909082177,0.0,0.25,softzero,0.021301550909082177,0.0852062036363287,False,,,
psi_child,-0.5575846072214437,-3.0,3.0,asinh,2.4424153927785563,0.4070692321297594,False,,,
kappa_fert,2.6105151099445743,0.02,50.0,log,2.5905151099445742,0.05183103461273658,False,,,
kappa_fert_continuation,2.9775238772817625,0.02,50.0,log,2.9575238772817625,0.05917414720451706,False,,,
chi,1.0381843260223078,0.1,5.0,log,0.9381843260223078,0.19146618898414444,False,,,
H0,7.701991946161454,0.2,80.0,log,7.5019919461614535,0.09400992413736158,False,,,
theta0,0.13207433861119927,0.0,8.0,softzero,0.13207433861119927,0.01650929232639991,True,lower,,
theta1,0.08505279515469401,0.02,16.0,log,0.065052795154694,0.0040708883075528165,True,lower,,
