parameter,estimate,lower,upper,status,near_bound
H0,8.645523389672618,0.2,80.0,held at selected estimate; no recalibration,False
beta_annual,0.9622366891116222,0.94,0.99,held at selected estimate; no recalibration,False
chi,1.1266080567418069,0.1,5.0,held at selected estimate; no recalibration,False
first_birth_fixed_cost,0.506777288216908,0.0,8.0,held at selected estimate; no recalibration,False
h_P,1.8900476600128304,0.1,2.3,held at selected estimate; no recalibration,False
kappa_fert,0.2092758576051789,0.02,50.0,held at selected estimate; no recalibration,True
kappa_fert_continuation,0.48206876668272913,0.02,50.0,held at selected estimate; no recalibration,True
theta0,0.08816920777433607,0.0,8.0,held at selected estimate; no recalibration,False
theta1,0.008193084126995582,,,externally fixed B15,
psi_child,0.13539452644572644,,,held at selected preference; not renormalized in this test,
payroll_tax,0.08751017424959717,,,experimental PAYGO rate,
pension_period,1.0004326356570097,,,endogenous balanced PAYGO,
housing_supply_elasticity,0.63,,,retained external setting,
tenure_choice_kappa,0.005,,,retained external setting,
alpha_cons,0.733,,,retained external setting,
sigma,2.0,,,retained external setting,
selling_cost,0.06,,,retained external setting,
financed_share,0.8,,,retained external setting,
annual_depreciation,0.01416143718381309,,,author adopted input,
period_depreciation,0.05545379079326218,,,four-year compounded,
annual_property_tax,0.010598360773872594,,,author adopted input,
period_property_tax,0.042393443095490375,,,four-year linear source convention,
income_process,15,,,retained B15 persistent-state count,
entrant_conversion_factor,0.5,,,legacy child-departure diagnostic; inactive in split-birth entry,
adult_entry_birth_to_household_conversion,0.47619047619047616,,,effective closed stationary birth conversion,
estate_transfer_period,0.0,,,endogenous balanced transfer in receiver case; zero otherwise,
