arm,age_index,age_years,surviving_mass,explicit_birth_flow,exact_first_birth_flow,childless_share,mean_rooms,ownership
15x3,0,18.0,0.9999999999999992,0.1784153484392489,0.1784153484392489,0.821584651560752,3.8089802813890428,0.04328056928447634
15x3,1,22.0,0.9999999999999315,0.25363540178618255,0.18722207995857632,0.634362571602218,4.818240856236351,0.15398245389519954
15x3,2,26.0,0.999999999999896,0.3099954967487768,0.16813894418730307,0.4662236274149369,5.650843758110037,0.26311705573305344
15x3,3,30.0,0.9999999999998802,0.3262414005461982,0.11643897020321109,0.3497846572117373,6.326741354977615,0.36337985581776333
15x3,4,34.0,0.9999999999998901,0.3131254132715276,0.07097276850174777,0.27881188870998486,6.82225581927832,0.43731068316719157
15x3,5,38.0,0.999999999999897,0.2609755164400407,0.03865188493763316,0.24016000377234673,7.178572228876612,0.49476253386907676
15x3,6,42.0,0.9999999999999204,0.16449354629027993,0.02176777917821432,0.21839222459412105,7.418949838473658,0.5331020940491067
15x3,7,46.0,0.9999999999999226,0.0,0.0,0.21839222459411398,7.5330398543652795,0.5536394696261312
15x3,8,50.0,0.9999999999999316,0.0,0.0,0.21839222459410237,7.6222991027909455,0.5686842594994391
15x3,9,54.0,0.9999999999999348,0.0,0.0,0.2183922245940955,7.708252328316766,0.5830189977210333
15x3,10,58.0,0.999999999999947,0.0,0.0,0.21839222459408464,7.7983238722539925,0.5979900563104664
15x3,11,62.0,0.9999999999999473,0.0,0.0,0.21839222459408072,7.899346385495185,0.6122054500793837
15x3,12,66.0,0.9999999999999539,0.0,0.0,0.21839222459407268,8.17141706653737,0.6249835031288821
15x3,13,70.0,0.9391263063709702,0.0,0.0,0.21839222459406615,8.226351128034088,0.6326604236338722
15x3,14,74.0,0.8625852907340945,0.0,0.0,0.218392224594058,8.284102503335648,0.6460221249380321
15x3,15,78.0,0.7633467444960195,0.0,0.0,0.21839222459405583,8.33568378633923,0.6815537531841855
15x3,16,82.0,0.6336135272169208,0.0,0.0,0.21839222459405072,8.363681925860723,0.7710090530441848
