moment,target,model,benchmark_model,notes
tfr,1.7,1.8383266953007273,1.898,partial type-clearing smoke; ordinary prices pinned
childless_rate,0.15,0.15889454661727448,0.145,partial type-clearing smoke; ordinary prices pinned
mean_age_first_birth,26.0,33.34614462959198,33.535,partial type-clearing smoke; ordinary prices pinned
tfr_gradient,0.133,0.10008977171420419,0.119,partial type-clearing smoke; ordinary prices pinned
own_rate,0.627,9.990453469140291e-12,0.643,partial type-clearing smoke; ordinary prices pinned
own_gradient,0.17,1.75086533740545e-11,0.139,partial type-clearing smoke; ordinary prices pinned
own_family_gap,0.11,2.4485254781609356e-11,0.114,partial type-clearing smoke; ordinary prices pinned
prime_childless_renter_median_rooms,4.0,6.552024919718182,6.365,partial type-clearing smoke; ordinary prices pinned
prime_childless_owner_median_rooms,6.0,6.8,6.8,partial type-clearing smoke; ordinary prices pinned
housing_increment_0to1,0.66443467,0.7402493227751625,0.441,partial type-clearing smoke; ordinary prices pinned
housing_increment_1to2,0.56581378,0.3142358110517014,0.192,partial type-clearing smoke; ordinary prices pinned
young_liquid_wealth_to_income,0.6,0.6000785138750097,0.527,partial type-clearing smoke; ordinary prices pinned
center_share_nonparents,0.494,0.4208023735517073,0.405,partial type-clearing smoke; ordinary prices pinned
center_share_newparents,0.416,0.3940141401841909,0.382,partial type-clearing smoke; ordinary prices pinned
migration_rate,0.032,0.03783912208962144,0.035,partial type-clearing smoke; ordinary prices pinned
old_age_own_rate,0.863,1.6451905672358739e-12,0.947,partial type-clearing smoke; ordinary prices pinned
old_age_parent_childless_gap,0.07,1.9559860902335413e-12,0.062,partial type-clearing smoke; ordinary prices pinned
inv_pop_share_C,0.45,0.4497752708550847,0.441,partial type-clearing smoke; ordinary prices pinned
inv_rent_ratio_C_over_P,1.14,1.1824877314608842,1.182,partial type-clearing smoke; ordinary prices pinned
