diagnostic,iteration,location,type,bin,value,p_iq,r_iq,stock_supply,demand,baseline_demand,excess,entry_threshold_r
type_market_v2,,0,S,,,0.49766052026004093,0.03483623641820286,0.004588397681858149,0.004588951371609756,0.00458839768185815,5.536897516068839e-07,0.0
type_market_v2,,0,M,,,0.522572390234107,0.036580067316387486,0.8150778780972247,0.8152462557685768,0.8150217534949579,0.00016837767135213788,0.012345346828044102
type_market_v2,,0,L,,,0.4976482666763792,0.03483537866734654,3.323701775753979,3.323275887625299,3.3238437434573354,-0.00042588812868027404,0.00924637528025496
type_market_v2,,1,S,,,0.5884774596399392,0.04119342217479574,0.07042417692233445,0.0704279602511088,0.07042417692233446,3.7833287743482824e-06,0.0
type_market_v2,,1,M,,,0.6179403321257296,0.04325582324880107,0.7116118607463254,0.7117099065544049,0.7115791775237496,9.804580807948327e-05,0.013296255057849806
type_market_v2,,1,L,,,0.5884885832797219,0.04119420082958053,2.0843433259243587,2.084451872067124,2.0843071437371967,0.00010854614276523122,0.008731329652724077
middle_price_premium,,0,,,0.024911869974066025,,,,,,,
large_price_premium,,0,,,-1.2253583661747669e-05,,,,,,,
middle_stock_share,,0,,,0.19671867619765102,,,,,,,
middle_demand_share,,0,,,0.19677151713324323,,,,,,,
middle_price_premium,,1,,,0.02946287248579038,,,,,,,
large_price_premium,,1,,,1.1123639782617545e-05,,,,,,,
middle_stock_share,,1,,,0.24826157688154613,,,,,,,
middle_demand_share,,1,,,0.248277560232356,,,,,,,
prime_age_renter_room_share,,,,<=4,0.0,,,,,,,
prime_age_renter_room_share,,,,5,0.0,,,,,,,
prime_age_renter_room_share,,,,6,0.17289134120921912,,,,,,,
prime_age_renter_room_share,,,,7-8,0.827108658790782,,,,,,,
prime_age_owner_room_share,,,,5,0.0,,,,,,,
prime_age_owner_room_share,,,,6,0.0,,,,,,,
prime_age_owner_room_share,,,,7-8,0.9999985777744963,,,,,,,
prime_age_owner_room_share,,,,9-10,1.4222244244288369e-06,,,,,,,
prime_age_owner_room_share,,,,11+,1.0792626248388818e-12,,,,,,,
renter_cap_mass,,,,,0.012771305906984257,,,,,,,
lower_middle_owner_rung_mass,,,,,0.40159598788735856,,,,,,,
price_iteration_v2,1,,,,6.311607004933605e-05,,,,,,,
active_type_excess_v2,1,,,,0.00027537970524902337,,,,,,,
