diagnostic,iteration,location,type,bin,value,p_iq,r_iq,stock_supply,demand,excess,entry_threshold_r
type_market,,0,S,,,0.49766052026004093,0.03483623641820286,2.877965526701945,2.6335040367124137e-06,-2.877962893197908,0.0
type_market,,0,M,,,1.2441513006501022,0.08709059104550715,3.163189959104211,4.022574047121859,0.8593840880176478,0.01835759318136208
type_market,,1,S,,,0.5884774596399392,0.04119342217479574,2.07654486157979,0.06631108505038581,-2.0102337765294043,0.0
type_market,,1,M,,,1.471193649099848,0.10298355543698935,1.2555005520540927,3.0210684987395826,1.7655679466854899,0.021545406940314267
middle_rent_wedge,,0,,,0.05225435462730429,,,,,,
middle_price_wedge,,0,,,0.7464907803900612,,,,,,
middle_stock_share,,0,,,0.5236067779642826,,,,,,
middle_demand_share,,0,,,0.999999345319121,,,,,,
middle_rent_wedge,,1,,,0.06179013326219361,,,,,,
middle_price_wedge,,1,,,0.8827161894599088,,,,,,
middle_stock_share,,1,,,0.37679575041711727,,,,,,
middle_demand_share,,1,,,0.9785218878175698,,,,,,
prime_age_renter_room_share,,,,<=4,6.234016040869401e-18,,,,,,
prime_age_renter_room_share,,,,5,2.2741833553758264e-20,,,,,,
prime_age_renter_room_share,,,,6,0.04948938641486319,,,,,,
prime_age_renter_room_share,,,,7-8,0.9505106135851366,,,,,,
prime_age_owner_room_share,,,,5,0.01388519725883505,,,,,,
prime_age_owner_room_share,,,,6,0.0,,,,,,
prime_age_owner_room_share,,,,7-8,0.9861148027411648,,,,,,
prime_age_owner_room_share,,,,9-10,0.0,,,,,,
prime_age_owner_room_share,,,,11+,0.0,,,,,,
renter_cap_mass,,,,,0.08134923279273294,,,,,,
lower_middle_owner_rung_mass,,,,,1.0,,,,,,
mass_choosing_middle_rental,,,,,0.3899261421918949,,,,,,
mass_choosing_middle_owner_rung,,,,,1.1748008014965721e-12,,,,,,
h2_starter_family_margin_mass,,,,,6.655223134713982e-15,,,,,,
new_parent_feasible_but_rent_share,,,,,0.9999999999900032,,,,,,
type_price_iteration,1,,,,1.0491803278688523,,,,,,
type_price_iteration,2,,,,0.23982150368876393,,,,,,
type_price_iteration,3,,,,0.017041388766535902,,,,,,
