diagnostic,iteration,location,type,bin,value,p_iq,r_iq,stock_supply,demand,baseline_demand,excess,entry_threshold_r
type_market_v3_ge,,0,S,,,0.49548093599573706,0.03468366551970159,0.00013282477933376986,0.0001322558843689204,0.0001339959224742928,-5.688949648494611e-07,0.0
type_market_v3_ge,,0,M,,,0.5138362998435559,0.03596854098904891,0.5467746133868486,0.5413924241496675,0.5583614926998699,-0.005382189237181145,0.014399641333753852
type_market_v3_ge,,0,L,,,0.4977356928758109,0.03484149850130676,3.5373624860228454,3.531237559883963,3.5364357873868166,-0.0061249261388822696,0.00905229461828822
type_market_v3_ge,,1,S,,,0.583611299319439,0.040852790952360725,0.23387511047115314,0.23094519044043488,0.23543385754346197,-0.002929920030718264,0.0
type_market_v3_ge,,1,M,,,0.6504327456075034,0.04553029219252523,0.5052255839706189,0.5170117258485503,0.48672703655835975,0.011786141877931366,0.016212146791962683
type_market_v3_ge,,1,L,,,0.5870267486451939,0.04109187240516357,2.23296982192474,2.237318791519065,2.2380372721193593,0.0043489695943250695,0.00844064062418185
middle_price_premium,,0,,,0.018355363847818884,,,,,,,
large_price_premium,,0,,,0.002254756880073816,,,,,,,
middle_stock_share,,0,,,0.13387328054607364,,,,,,,
middle_demand_share,,0,,,0.13293003427584515,,,,,,,
renter_mass_type_share_v3_ge,,0,S,,0.0001139449537899889,,,,,,,
owner_mass_type_share_v3_ge,,0,S,,0.0,,,,,,,
renter_mass_type_share_v3_ge,,0,M,,0.3920308575018617,,,,,,,
owner_mass_type_share_v3_ge,,0,M,,1.9746681596441773e-05,,,,,,,
renter_mass_type_share_v3_ge,,0,L,,0.6078551975443484,,,,,,,
owner_mass_type_share_v3_ge,,0,L,,0.9999802533184036,,,,,,,
middle_price_premium,,1,,,0.06682144628806441,,,,,,,
large_price_premium,,1,,,0.0034154493257548824,,,,,,,
middle_stock_share,,1,,,0.16999111602112307,,,,,,,
middle_demand_share,,1,,,0.1731872618988911,,,,,,,
renter_mass_type_share_v3_ge,,1,S,,0.24086306870503918,,,,,,,
owner_mass_type_share_v3_ge,,1,S,,3.217778607969712e-11,,,,,,,
renter_mass_type_share_v3_ge,,1,M,,0.4086027343406557,,,,,,,
owner_mass_type_share_v3_ge,,1,M,,0.0,,,,,,,
renter_mass_type_share_v3_ge,,1,L,,0.35053419695430516,,,,,,,
owner_mass_type_share_v3_ge,,1,L,,0.9999999999678222,,,,,,,
price_iteration_v3_ge,1,,,,0.027224696094956636,,,,,,,
entry_iteration_v3_ge,1,,,,0.00795736480844439,,,,,,,
market_excess_v3_ge,1,,,,0.07232555789932399,,,,,,,
price_iteration_v3_ge,2,,,,0.01407893483992362,,,,,,,
entry_iteration_v3_ge,2,,,,0.005071750870793146,,,,,,,
market_excess_v3_ge,2,,,,0.03900573297748296,,,,,,,
price_iteration_v3_ge,3,,,,0.010522649861408006,,,,,,,
entry_iteration_v3_ge,3,,,,0.004394538890792277,,,,,,,
market_excess_v3_ge,3,,,,0.029489080926528216,,,,,,,
price_iteration_v3_ge,4,,,,0.008070043391100777,,,,,,,
entry_iteration_v3_ge,4,,,,0.002801916373613267,,,,,,,
market_excess_v3_ge,4,,,,0.022796662606805004,,,,,,,
ge_status,,,accepted,,True,,,,,,,
ge_status,,,final_price_step,,0.008070043391100777,,,,,,,
ge_status,,,final_entry_step,,0.002801916373613267,,,,,,,
ge_status,,,final_market_excess,,0.022796662606805004,,,,,,,
ge_status,,,entry_shares,,"[0.5674236545700297, 0.4325763454299702]",,,,,,,
prime_age_renter_room_share,,,,<=4,2.1186386056480393e-05,,,,,,,
prime_age_renter_room_share,,,,5,0.00014019978586178665,,,,,,,
prime_age_renter_room_share,,,,6,4.726878864629627e-08,,,,,,,
prime_age_renter_room_share,,,,7-8,0.9998385665592942,,,,,,,
prime_age_owner_room_share,,,,5,0.0,,,,,,,
prime_age_owner_room_share,,,,6,0.0,,,,,,,
prime_age_owner_room_share,,,,7-8,0.9998911987833857,,,,,,,
prime_age_owner_room_share,,,,9-10,0.00010864871462094645,,,,,,,
prime_age_owner_room_share,,,,11+,1.5250199473021212e-07,,,,,,,
renter_cap_mass,,,,,0.006998574189990093,,,,,,,
lower_middle_owner_rung_mass,,,,,0.3842058525460564,,,,,,,
