diagnostic,dimension,age,location,parity,z,mu,wealth_bin,credit_status,value,mass
state_size,Nb,,,,,,,,80,
state_size,tenure_states,,,,,,,,7,
state_size,locations,,,,,,,,2,
state_size,ages,,,,,,,,60,
state_size,fertility_states,,,,,,,,4,
state_size,child_age_states,,,,,,,,7,
state_size,z_states,,,,,,,,3,
state_size,mu_states,,,,,,,,5,
mean_liquid_wealth_by_z_age,,77,,,0.0,,,,-1.1635429010042595,
ownership_by_z_age,,77,,,0.0,,,,0.5860276488301401,
z_distribution_by_age,,77,,,0.28,,,,0.27777777777798157,
mean_liquid_wealth_by_z_age,,77,,,0.28,,,,-1.1635429010042595,
ownership_by_z_age,,77,,,0.28,,,,0.5860276488301402,
bad_credit_share_by_age,,77,,,,,,,0.06272442726158739,
mortgage_account_mass_by_age,,77,,,,no_mortgage_good,,,0.006347576051271184,
mortgage_account_mass_by_age,,77,,,,no_mortgage_bad,,,0.0005519631348931467,
mortgage_account_mass_by_age,,77,,,,active_low_good,,,0.0017740350087683831,
mortgage_account_mass_by_age,,77,,,,active_high_good,,,0.007499648485600638,
mortgage_account_mass_by_age,,77,,,,active_low_bad,,,0.0004934439861333103,
fertility_by_z_liquid_wealth_bin,,,,,-0.28,,1,,0.041640588381672915,0.07246869860494172
fertility_by_z_liquid_wealth_bin,,,,,-0.28,,2,,0.08747567341416225,0.01020754472169911
fertility_by_z_liquid_wealth_bin,,,,,-0.28,,3,,0.0,0.0
fertility_by_z_liquid_wealth_bin,,,,,0.0,,1,,0.04481425976119317,0.10682619899922421
fertility_by_z_liquid_wealth_bin,,,,,0.0,,2,,0.08750963488696101,0.016313713062034912
fertility_by_z_liquid_wealth_bin,,,,,0.0,,3,,0.0,0.0
fertility_by_z_liquid_wealth_bin,,,,,0.28,,1,,0.04164058838167293,0.0724686986049417
fertility_by_z_liquid_wealth_bin,,,,,0.28,,2,,0.08747567341416226,0.010207544721699107
fertility_by_z_liquid_wealth_bin,,,,,0.28,,3,,0.0,0.0
default_rate_by_location_fertility_z,,,0,0,-0.28,,,,5.9492761043980486e-05,
mass_near_default_cutoff,,,0,0,-0.28,,,,0.0,
default_rate_by_location_fertility_z,,,0,0,0.0,,,,4.755798586463114e-05,
mass_near_default_cutoff,,,0,0,0.0,,,,0.0,
default_rate_by_location_fertility_z,,,0,0,0.28,,,,3.801670726618668e-05,
mass_near_default_cutoff,,,0,0,0.28,,,,0.0,
default_rate_by_location_fertility_z,,,0,1,-0.28,,,,0.00011877380683508034,
mass_near_default_cutoff,,,0,1,-0.28,,,,0.0,
default_rate_by_location_fertility_z,,,0,1,0.0,,,,9.494741764587754e-05,
mass_near_default_cutoff,,,0,1,0.0,,,,0.0,
default_rate_by_location_fertility_z,,,0,1,0.28,,,,7.589911685598372e-05,
mass_near_default_cutoff,,,0,1,0.28,,,,0.0,
default_rate_by_location_fertility_z,,,0,2,-0.28,,,,0.00011688759302357254,
mass_near_default_cutoff,,,0,2,-0.28,,,,0.0,
default_rate_by_location_fertility_z,,,0,2,0.0,,,,9.34393745180768e-05,
mass_near_default_cutoff,,,0,2,0.0,,,,0.0,
default_rate_by_location_fertility_z,,,0,2,0.28,,,,7.469348262743076e-05,
mass_near_default_cutoff,,,0,2,0.28,,,,0.0,
default_rate_by_location_fertility_z,,,0,3,-0.28,,,,0.00010936459039038555,
mass_near_default_cutoff,,,0,3,-0.28,,,,0.0,
default_rate_by_location_fertility_z,,,0,3,0.0,,,,8.743183304845744e-05,
mass_near_default_cutoff,,,0,3,0.0,,,,0.0,
default_rate_by_location_fertility_z,,,0,3,0.28,,,,6.989521826382176e-05,
mass_near_default_cutoff,,,0,3,0.28,,,,0.0,
default_rate_by_location_fertility_z,,,1,0,-0.28,,,,5.744558670157933e-05,
mass_near_default_cutoff,,,1,0,-0.28,,,,0.0,
default_rate_by_location_fertility_z,,,1,0,0.0,,,,4.591944355147798e-05,
mass_near_default_cutoff,,,1,0,0.0,,,,0.0,
default_rate_by_location_fertility_z,,,1,0,0.28,,,,3.670558647670838e-05,
mass_near_default_cutoff,,,1,0,0.28,,,,0.0,
default_rate_by_location_fertility_z,,,1,1,-0.28,,,,8.010670793153542e-05,
mass_near_default_cutoff,,,1,1,-0.28,,,,0.0,
default_rate_by_location_fertility_z,,,1,1,0.0,,,,6.40338488892414e-05,
mass_near_default_cutoff,,,1,1,0.0,,,,0.0,
default_rate_by_location_fertility_z,,,1,1,0.28,,,,5.11853618415266e-05,
mass_near_default_cutoff,,,1,1,0.28,,,,0.0,
default_rate_by_location_fertility_z,,,1,2,-0.28,,,,9.503382934715266e-05,
mass_near_default_cutoff,,,1,2,-0.28,,,,0.0,
default_rate_by_location_fertility_z,,,1,2,0.0,,,,7.596775403050005e-05,
mass_near_default_cutoff,,,1,2,0.0,,,,0.0,
default_rate_by_location_fertility_z,,,1,2,0.28,,,,6.07258672930429e-05,
mass_near_default_cutoff,,,1,2,0.28,,,,0.0,
default_rate_by_location_fertility_z,,,1,3,-0.28,,,,7.309486010004605e-05,
mass_near_default_cutoff,,,1,3,-0.28,,,,0.0,
default_rate_by_location_fertility_z,,,1,3,0.0,,,,5.8428854112420266e-05,
mass_near_default_cutoff,,,1,3,0.0,,,,0.0,
default_rate_by_location_fertility_z,,,1,3,0.28,,,,4.670500103922347e-05,
mass_near_default_cutoff,,,1,3,0.28,,,,0.0,
purchase_origination_share_by_credit_status,,,,,,,,G,0.9199999999999997,
purchase_origination_share_by_credit_status,,,,,,,,B,0.07999999999999993,
